epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7495,3.52575,3.15916,1.5179,0.04493,0.16602,0.03296,0.01207,3.53201,1962.66,1.59616,0.0670529,0.000332799,0.000332799
2,119.374,2.92534,2.98689,1.2434,0.11421,0.40982,0.11863,0.04362,2.66578,553.094,1.23744,0.0340496,0.000662835,0.000662835
3,179.111,2.74144,2.77556,1.17898,0.26445,0.2812,0.14432,0.0553,2.58056,41.6825,1.19062,0.00104299,0.000989571,0.000989571
4,238.014,2.68776,2.75107,1.15123,0.4575,0.32328,0.32497,0.1316,2.37441,2.605,1.11099,0.00098515,0.00098515,0.00098515
5,296.629,2.63019,2.64672,1.16095,0.38018,0.34249,0.28366,0.11926,2.34061,3.36211,1.10305,0.0009802,0.0009802,0.0009802
6,354.854,2.5478,2.59883,1.11902,0.41336,0.3291,0.28088,0.09984,2.5053,2.11371,1.14571,0.00097525,0.00097525,0.00097525
7,413.151,2.52123,2.62145,1.13214,0.61706,0.31996,0.38527,0.167,2.19837,2.25396,1.06138,0.0009703,0.0009703,0.0009703
8,471.467,2.45065,2.54821,1.0984,0.50186,0.38279,0.37977,0.14578,2.25007,2.25068,1.07027,0.00096535,0.00096535,0.00096535
9,529.692,2.45726,2.46726,1.11764,0.34733,0.40136,0.22047,0.09737,2.20321,17.0018,1.04955,0.0009604,0.0009604,0.0009604
10,587.829,2.5177,2.49362,1.11451,0.57386,0.38822,0.41899,0.176,2.17295,2.09375,1.03872,0.00095545,0.00095545,0.00095545
11,646.32,2.45982,2.47915,1.10447,0.39809,0.35154,0.28628,0.10645,2.43642,2.93385,1.14045,0.0009505,0.0009505,0.0009505
12,704.592,2.41832,2.61055,1.11153,0.56852,0.44567,0.44469,0.17767,2.17807,1.83578,1.04551,0.00094555,0.00094555,0.00094555
13,763.329,2.44402,2.59651,1.09343,0.56317,0.38022,0.39376,0.17505,2.14052,2.00473,1.03352,0.0009406,0.0009406,0.0009406
14,821.765,2.37441,2.51102,1.09193,0.35136,0.34896,0.28557,0.12888,2.19824,2.46533,1.04308,0.00093565,0.00093565,0.00093565
15,879.619,2.39481,2.50121,1.09162,0.34365,0.3986,0.21659,0.09662,2.15277,4.368,1.0331,0.0009307,0.0009307,0.0009307
16,937.566,2.38315,2.38965,1.08579,0.54655,0.40265,0.40064,0.1693,2.14879,2.14364,1.03685,0.00092575,0.00092575,0.00092575
17,995.911,2.33892,2.34033,1.05449,0.57319,0.44144,0.44817,0.19341,2.14881,1.81774,1.04194,0.0009208,0.0009208,0.0009208
18,1055.05,2.32399,2.31851,1.06763,0.6272,0.45174,0.47786,0.18399,2.19655,1.82724,1.03544,0.00091585,0.00091585,0.00091585
19,1112.71,2.35208,2.32886,1.04853,0.63372,0.46602,0.49213,0.20792,2.136,1.70134,1.02915,0.0009109,0.0009109,0.0009109
20,1171.11,2.27299,2.17502,1.05361,0.69527,0.45725,0.52548,0.23783,2.02853,1.96269,1.0071,0.00090595,0.00090595,0.00090595
21,1229.29,2.29819,2.15657,1.05565,0.67705,0.44438,0.49896,0.22049,2.08704,2.09458,1.01742,0.000901,0.000901,0.000901
