epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.24,3.24294,4.85001,1.714,0.09516,0.33683,0.02193,0.02204,nan,nan,nan,0.000665598,0.000665598,0.000665598
2,307.608,2.92845,3.08819,1.37538,0.28915,0.38334,0.13094,0.10993,2.6812,25.3318,1.23718,0.00133218,0.00133218,0.00133218
3,464.45,2.82379,2.89384,1.31242,0.38275,0.29914,0.16076,0.13664,2.58631,4.45653,1.20773,0.00199844,0.00199844,0.00199844
4,621.036,2.82727,2.84821,1.26759,0.447,0.43758,0.27092,0.22358,2.6266,2.16243,1.17334,0.0019989,0.0019989,0.0019989
5,776.235,2.68389,2.68315,1.23969,0.43497,0.44457,0.24626,0.20059,2.37276,8.96307,1.11883,0.00199805,0.00199805,0.00199805
6,929.071,2.60649,2.61213,1.19626,0.57045,0.42949,0.28536,0.24971,2.63499,1.99412,1.20866,0.00199695,0.00199695,0.00199695
7,1086.19,2.5379,2.60423,1.19816,0.54339,0.42379,0.32245,0.26149,2.45562,1.91499,1.12099,0.00199561,0.00199561,0.00199561
8,1242.69,2.50593,2.60372,1.17243,0.41248,0.4374,0.24095,0.21052,2.40048,2.56129,1.15853,0.00199402,0.00199402,0.00199402
9,1394.87,2.45399,2.48379,1.18178,0.60302,0.47142,0.40481,0.31846,2.26105,1.75469,1.09265,0.00199219,0.00199219,0.00199219
10,1551.02,2.55186,2.47996,1.18347,0.57589,0.4751,0.36651,0.30382,2.28645,2.40526,1.10113,0.00199012,0.00199012,0.00199012
11,1704.65,2.44877,2.44208,1.14793,0.38389,0.42857,0.24798,0.20982,2.233,3.10989,1.08764,0.00198781,0.00198781,0.00198781
12,1857.14,2.40435,2.40903,1.14904,0.60085,0.49789,0.41186,0.32497,2.34894,1.9674,1.10881,0.00198526,0.00198526,0.00198526
13,2013.33,2.45529,2.40406,1.14315,0.66159,0.50359,0.46274,0.35879,2.18583,1.68818,1.0515,0.00198246,0.00198246,0.00198246
14,2170.4,2.40202,2.33088,1.15118,0.54858,0.46994,0.36802,0.30093,2.20964,2.29556,1.07939,0.00197943,0.00197943,0.00197943
15,2322.75,2.38833,2.34126,1.13274,0.57189,0.41717,0.3881,0.29957,2.1706,1.90917,1.06689,0.00197616,0.00197616,0.00197616
16,2476.07,2.39655,2.38522,1.15082,0.56975,0.49449,0.40152,0.31982,2.14967,1.95154,1.06085,0.00197265,0.00197265,0.00197265
17,2628.11,2.33921,2.30598,1.10181,0.48156,0.46976,0.30757,0.26124,2.23735,2.73219,1.08722,0.0019689,0.0019689,0.0019689
18,2780.21,2.32968,2.26766,1.11864,0.67166,0.52087,0.48581,0.38037,2.09771,1.6143,1.03668,0.00196491,0.00196491,0.00196491
19,2936.57,2.37066,2.35497,1.11001,0.62031,0.4966,0.46096,0.36414,2.10274,1.70344,1.03767,0.00196069,0.00196069,0.00196069
20,3088.97,2.25963,2.23927,1.0994,0.69247,0.48521,0.48794,0.38159,2.08969,1.76772,1.03597,0.00195624,0.00195624,0.00195624
21,3243.23,2.28135,2.13224,1.09217,0.57952,0.51998,0.4029,0.32903,2.30644,1.74635,1.09151,0.00195155,0.00195155,0.00195155
22,3394.67,2.34205,2.23383,1.10769,0.58723,0.51848,0.38707,0.32029,2.16811,2.12844,1.07061,0.00194662,0.00194662,0.00194662
23,3545.65,2.28425,2.22936,1.11115,0.68019,0.45045,0.44007,0.34836,2.1459,1.76767,1.06116,0.00194147,0.00194147,0.00194147
24,3695.97,2.26099,2.24139,1.07476,0.67043,0.51609,0.39866,0.33878,2.27584,1.67778,1.07597,0.00193609,0.00193609,0.00193609
25,3847.35,2.33176,2.16146,1.10279,0.67202,0.5176,0.47682,0.37139,2.16982,1.60065,1.06003,0.00193048,0.00193048,0.00193048
26,3998.58,2.31083,2.33915,1.08947,0.48432,0.52124,0.3547,0.28007,2.24159,3.50287,1.07115,0.00192464,0.00192464,0.00192464
27,4150.28,2.35209,2.15268,1.11594,0.71662,0.53889,0.50563,0.38699,2.27663,1.59394,1.06635,0.00191858,0.00191858,0.00191858
28,4304.92,2.26244,2.26839,1.06387,0.76239,0.42232,0.46868,0.36828,2.07244,1.88436,1.03611,0.00191229,0.00191229,0.00191229
29,4455.96,2.24165,2.33752,1.07149,0.60947,0.49936,0.38686,0.32046,2.3314,2.02173,1.12896,0.00190578,0.00190578,0.00190578
30,4606.39,2.29804,2.1759,1.09882,0.76181,0.51627,0.51077,0.40272,2.11802,1.70098,1.04111,0.00189905,0.00189905,0.00189905
31,4760.84,2.22794,2.08396,1.07811,0.69396,0.52712,0.49772,0.3925,2.03059,1.58417,1.02244,0.0018921,0.0018921,0.0018921
32,4910.49,2.22757,2.23317,1.07462,0.72345,0.52252,0.51412,0.406,2.01735,1.5882,1.02289,0.00188493,0.00188493,0.00188493
33,5065.16,2.21896,2.12033,1.08595,0.6745,0.53429,0.49557,0.39536,2.02166,1.54461,1.01651,0.00187754,0.00187754,0.00187754
34,5216.3,2.22962,2.08588,1.06531,0.71407,0.54146,0.53198,0.42362,1.98917,1.47165,1.01147,0.00186995,0.00186995,0.00186995
35,5371.38,2.273,2.01934,1.07849,0.72398,0.56279,0.54098,0.4258,2.00344,1.44061,1.01322,0.00186213,0.00186213,0.00186213
36,5527.18,2.21774,2.04419,1.0813,0.7125,0.55028,0.52608,0.41856,1.98293,1.53034,1.01362,0.00185411,0.00185411,0.00185411
37,5679.06,2.20975,2.17021,1.05734,0.48883,0.55139,0.33643,0.28418,2.20003,5.01971,1.06772,0.00184588,0.00184588,0.00184588
38,5830.95,2.20314,2.09028,1.07718,0.68188,0.53163,0.49927,0.39677,2.06104,1.56489,1.03468,0.00183745,0.00183745,0.00183745
