epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2474,3.20174,5.47585,1.63838,0.13358,0.49366,0.1084,0.1258,3.34092,2.70054,1.51561,0.000665598,0.000665598,0.000665598
2,138.694,2.99788,3.36128,1.43081,0.31717,0.32674,0.15486,0.13372,2.71182,4.45432,1.28413,0.00130589,0.00130589,0.00130589
3,204.058,2.78103,3.05709,1.3221,0.43349,0.39658,0.25984,0.21284,2.5544,2.38746,1.19552,0.00191977,0.00191977,0.00191977
4,269.205,2.72138,2.93827,1.26139,0.61195,0.43593,0.36919,0.29113,2.46963,2.15409,1.16349,0.0018812,0.0018812,0.0018812
5,334.066,2.62644,2.80089,1.24849,0.53968,0.38058,0.32236,0.25452,2.3995,2.53011,1.15127,0.0018416,0.0018416,0.0018416
6,398.274,2.57506,2.7379,1.21227,0.57764,0.40308,0.30685,0.25939,2.51441,1.96996,1.16657,0.001802,0.001802,0.001802
7,463.609,2.52045,2.74847,1.20649,0.64677,0.32183,0.32665,0.26258,2.43091,2.13384,1.1255,0.0017624,0.0017624,0.0017624
8,528.13,2.48724,2.66185,1.17651,0.54195,0.46203,0.37086,0.30291,2.30577,2.05305,1.11813,0.0017228,0.0017228,0.0017228
9,592.95,2.46704,2.54589,1.20055,0.64065,0.43005,0.40602,0.32358,2.23595,1.98529,1.09455,0.0016832,0.0016832,0.0016832
10,658.85,2.49467,2.47064,1.18405,0.52807,0.48888,0.36085,0.29739,2.24438,2.80687,1.09143,0.0016436,0.0016436,0.0016436
11,723.204,2.44927,2.43974,1.16106,0.57992,0.46828,0.38099,0.30778,2.31132,1.76355,1.09644,0.001604,0.001604,0.001604
12,787.514,2.41684,2.46742,1.1665,0.57744,0.47527,0.3871,0.315,2.27783,2.54505,1.08363,0.0015644,0.0015644,0.0015644
13,851.835,2.44461,2.47633,1.14729,0.70421,0.4863,0.48037,0.37509,2.13481,1.73541,1.05428,0.0015248,0.0015248,0.0015248
14,917.38,2.39201,2.36398,1.16485,0.5663,0.48741,0.4146,0.32771,2.19669,1.91206,1.07398,0.0014852,0.0014852,0.0014852
15,981.867,2.40936,2.36192,1.15232,0.65295,0.49881,0.45404,0.36136,2.12883,1.67409,1.06307,0.0014456,0.0014456,0.0014456
16,1046.65,2.39824,2.33331,1.15886,0.60702,0.50039,0.41172,0.32665,2.23334,2.17502,1.07544,0.001406,0.001406,0.001406
17,1111.2,2.34679,2.38815,1.11342,0.51753,0.47454,0.37073,0.30005,2.17,1.89845,1.06131,0.0013664,0.0013664,0.0013664
18,1175.54,2.31057,2.2754,1.11145,0.7288,0.53999,0.51432,0.4095,2.04326,1.5536,1.03125,0.0013268,0.0013268,0.0013268
19,1240.92,2.36773,2.33131,1.11589,0.72102,0.54385,0.52589,0.41537,2.06775,1.63845,1.04201,0.0012872,0.0012872,0.0012872
