epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0566,3.60512,3.5277,1.58297,0.13706,0.41092,0.07684,0.09554,3.94247,3.38553,2.52425,0.0670529,0.000332799,0.000332799
2,137.298,2.99745,2.94605,1.33895,0.17063,0.58191,0.23074,0.19652,2.71691,2.5038,1.25548,0.0340528,0.000666092,0.000666092
3,198.075,2.7907,2.76389,1.25397,0.23679,0.43574,0.16391,0.13268,2.49186,2.86946,1.16391,0.00105264,0.000999222,0.000999222
4,258.664,2.72272,2.70685,1.21073,0.6046,0.34731,0.32579,0.25808,2.39918,2.08518,1.13629,0.00099945,0.00099945,0.00099945
5,319.74,2.65499,2.66409,1.20716,0.18419,0.65288,0.36673,0.29073,2.31789,2.27593,1.11051,0.000999023,0.000999023,0.000999023
6,380.788,2.55964,2.66532,1.15937,0.34945,0.5023,0.29121,0.23633,2.33004,2.21436,1.11485,0.000998474,0.000998474,0.000998474
7,441.589,2.53541,2.62008,1.17156,0.35223,0.57143,0.33596,0.26631,2.36938,2.19263,1.1206,0.000997803,0.000997803,0.000997803
8,501.994,2.49654,2.53777,1.13724,0.37757,0.44144,0.20186,0.16254,2.38599,inf,1.11176,0.000997011,0.000997011,0.000997011
9,562.769,2.49457,2.45798,1.16345,0.34911,0.50965,0.20869,0.16683,2.29296,inf,1.10023,0.000996097,0.000996097,0.000996097
10,623.902,2.5298,2.44673,1.14491,0.72607,0.39915,0.44952,0.35415,2.16189,1.89425,1.06506,0.000995062,0.000995062,0.000995062
11,685.32,2.4658,2.41657,1.1269,0.49429,0.45088,0.27905,0.24435,2.4095,3.21149,1.13626,0.000993906,0.000993906,0.000993906
12,745.606,2.44604,2.51007,1.13594,0.6558,0.51109,0.45303,0.36265,2.25112,1.77208,1.08411,0.000992629,0.000992629,0.000992629
13,806.919,2.45889,2.51025,1.11863,0.63325,0.45111,0.43014,0.33381,2.19607,1.76934,1.05023,0.000991232,0.000991232,0.000991232
14,868.001,2.44155,2.43024,1.13734,0.54585,0.45302,0.36206,0.28983,2.19528,1.86691,1.06102,0.000989715,0.000989715,0.000989715
15,929.135,2.3979,2.37029,1.11759,0.69487,0.44549,0.44242,0.35199,2.15095,1.834,1.05541,0.000988079,0.000988079,0.000988079
16,989.593,2.40697,2.3479,1.12711,0.65058,0.42637,0.38595,0.30759,2.24796,1.99128,1.07654,0.000986323,0.000986323,0.000986323
17,1050.16,2.34997,2.33068,1.07727,0.65447,0.47435,0.42216,0.33763,2.27911,1.69657,1.08546,0.000984449,0.000984449,0.000984449
18,1111.03,2.35243,2.2974,1.09588,0.7155,0.48876,0.47984,0.37618,2.22787,1.75721,1.06678,0.000982456,0.000982456,0.000982456
19,1172.17,2.36763,2.31721,1.07812,0.66946,0.51039,0.46233,0.36622,2.20209,1.6431,1.06273,0.000980345,0.000980345,0.000980345
20,1233.24,2.28243,2.22057,1.08252,0.79265,0.45266,0.50981,0.3982,2.10055,1.89753,1.03074,0.000978118,0.000978118,0.000978118
21,1294.02,2.31166,2.21989,1.07511,0.43671,0.46847,0.34078,0.26906,2.05956,2.57093,1.02435,0.000975773,0.000975773,0.000975773
22,1354.98,2.33352,2.20315,1.08352,0.44041,0.49825,0.40365,0.32238,2.03667,3.25057,1.02664,0.000973312,0.000973312,0.000973312
23,1415.84,2.32679,2.23041,1.0896,0.38678,0.49424,0.22966,0.18218,2.23236,inf,1.05181,0.000970736,0.000970736,0.000970736
24,1476.17,2.24789,2.20855,1.04959,0.72804,0.48678,0.50926,0.39215,2.06098,1.75832,1.01554,0.000968045,0.000968045,0.000968045
25,1537.15,2.31879,2.24867,1.07702,0.74014,0.45139,0.482,0.37364,2.12311,1.95498,1.02577,0.000965239,0.000965239,0.000965239
26,1597.81,2.28707,2.26938,1.06091,0.77032,0.41068,0.49164,0.37747,2.15481,2.05512,1.0299,0.00096232,0.00096232,0.00096232
27,1658.29,2.34215,2.19752,1.08257,0.43785,0.53613,0.27987,0.21533,2.10812,inf,1.01977,0.000959289,0.000959289,0.000959289
28,1718.6,2.29706,2.32168,1.04285,0.44653,0.52252,0.26523,0.21385,2.05117,7.66788,1.01947,0.000956145,0.000956145,0.000956145
29,1779.46,2.25156,2.17122,1.05369,0.5679,0.46346,0.37216,0.29949,2.21026,2.25641,1.0501,0.000952889,0.000952889,0.000952889
30,1839.94,2.29394,2.23347,1.06827,0.69385,0.49568,0.48171,0.38849,2.06102,1.64443,1.01894,0.000949524,0.000949524,0.000949524
31,1900.68,2.2625,2.14408,1.05776,0.69367,0.54256,0.49683,0.39655,2.07997,1.63062,1.02986,0.000946048,0.000946048,0.000946048
32,1961.73,2.26374,2.15227,1.05713,0.71832,0.55525,0.54862,0.43307,2.0267,1.54849,1.01207,0.000942464,0.000942464,0.000942464
33,2023.16,2.23284,2.10133,1.06217,0.76028,0.54348,0.55813,0.42797,2.00665,1.55096,0.9952,0.000938772,0.000938772,0.000938772
34,2083.9,2.25099,2.16272,1.04407,0.77567,0.49053,0.5297,0.40672,2.11433,1.82765,1.02369,0.000934973,0.000934973,0.000934973
