epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0839,3.4926,3.51598,1.50651,0.12125,0.43813,0.05153,0.05698,3.30028,131.204,1.52213,0.0670529,0.000332799,0.000332799
2,179.434,2.95484,3.00207,1.23507,0.15646,0.56315,0.17974,0.1491,2.71735,2.77757,1.20863,0.0340527,0.00066597,0.00066597
3,266.574,2.75622,2.8129,1.18743,0.2955,0.35374,0.15532,0.13065,2.54807,3.19666,1.15153,0.00105191,0.00099849,0.00099849
4,353.025,2.70019,2.67149,1.15573,0.58928,0.35084,0.31448,0.25408,2.38674,2.05168,1.1103,0.000997803,0.000997803,0.000997803
5,439.71,2.60938,2.56188,1.14638,0.60539,0.3791,0.34691,0.2738,2.33376,2.12603,1.09531,0.000996097,0.000996097,0.000996097
6,526.483,2.53206,2.54054,1.11385,0.31943,0.43813,0.16334,0.13569,2.50021,inf,1.14627,0.000993906,0.000993906,0.000993906
7,612.765,2.50259,2.63814,1.11417,0.21331,0.61997,0.27631,0.22581,2.28302,2.30422,1.07249,0.000991232,0.000991232,0.000991232
8,698.825,2.46673,2.57281,1.09303,0.73405,0.34711,0.35708,0.29474,2.39971,2.03382,1.10017,0.000988079,0.000988079,0.000988079
9,785.927,2.47788,2.44823,1.12456,0.71548,0.41074,0.41537,0.32968,2.31937,1.96966,1.077,0.000984449,0.000984449,0.000984449
10,873.196,2.51698,2.4648,1.10802,0.63039,0.47362,0.43288,0.34329,2.19066,1.81573,1.04317,0.000980345,0.000980345,0.000980345
11,959.768,2.47227,2.45582,1.10288,0.56081,0.4692,0.33813,0.28256,2.38919,3.00055,1.1239,0.000975773,0.000975773,0.000975773
12,1045.49,2.43228,2.5303,1.10041,0.6466,0.51443,0.44327,0.35361,2.23989,1.83782,1.0569,0.000970736,0.000970736,0.000970736
13,1131.82,2.46783,2.6056,1.08823,0.69706,0.33167,0.38684,0.30223,2.22239,2.03644,1.0478,0.000965239,0.000965239,0.000965239
14,1218.11,2.3938,2.43612,1.09314,0.59779,0.44651,0.37818,0.30616,2.18808,1.87507,1.04414,0.000959289,0.000959289,0.000959289
15,1305.4,2.3764,2.41141,1.08622,0.68889,0.43151,0.42096,0.33879,2.15503,1.87522,1.03245,0.000952889,0.000952889,0.000952889
16,1392.33,2.37871,2.37394,1.08786,0.59336,0.43354,0.37157,0.29384,2.19101,1.93157,1.03889,0.000946048,0.000946048,0.000946048
17,1478.84,2.35198,2.3433,1.05626,0.61648,0.52032,0.42144,0.3445,2.22947,1.73111,1.06121,0.000938772,0.000938772,0.000938772
18,1565.42,2.32349,2.28578,1.06367,0.68493,0.45486,0.44098,0.34502,2.12689,1.86023,1.01725,0.000931067,0.000931067,0.000931067
19,1652.28,2.34442,2.32628,1.04611,0.64144,0.52969,0.4722,0.37647,2.10909,1.72796,1.02858,0.000922942,0.000922942,0.000922942
20,1740.42,2.27252,2.19786,1.0585,0.74113,0.48961,0.50987,0.39502,2.06568,1.84329,1.00569,0.000914405,0.000914405,0.000914405
21,1827.38,2.28764,2.21335,1.04329,0.73585,0.36159,0.43546,0.33806,2.1354,2.13507,1.01792,0.000905463,0.000905463,0.000905463
22,1914.43,2.33702,2.26323,1.0554,0.57029,0.50837,0.4237,0.34049,2.16015,2.02547,1.03937,0.000896127,0.000896127,0.000896127
23,2001.13,2.31479,2.24318,1.06692,0.7003,0.46571,0.47205,0.36064,2.20276,1.84915,1.03115,0.000886404,0.000886404,0.000886404
24,2087.18,2.25344,2.24991,1.03175,0.69047,0.47656,0.48235,0.37117,2.10393,2.02715,1.01,0.000876305,0.000876305,0.000876305
25,2173.77,2.32314,2.23538,1.05837,0.61426,0.51178,0.44789,0.35171,2.13941,1.81211,1.01653,0.000865839,0.000865839,0.000865839
26,2260.21,2.31195,2.29699,1.0369,0.75575,0.37432,0.45242,0.35691,2.10551,1.95082,1.01127,0.000855018,0.000855018,0.000855018
27,2346.69,2.34773,2.1573,1.06828,0.71285,0.54569,0.53695,0.41964,2.0561,1.5802,1.00578,0.000843851,0.000843851,0.000843851
28,2433.29,2.26548,2.27248,1.01995,0.58146,0.47178,0.43387,0.34075,2.09238,2.12422,1.01623,0.000832349,0.000832349,0.000832349
29,2520.01,2.2507,2.14391,1.0394,0.3185,0.50064,0.19345,0.15654,2.16318,10.3844,1.04074,0.000820525,0.000820525,0.000820525
30,2607.65,2.30962,2.21677,1.0509,0.70923,0.52379,0.5253,0.4146,2.04094,1.63781,0.99519,0.000808389,0.000808389,0.000808389
31,2695.07,2.28371,2.16023,1.04126,0.69324,0.52583,0.51671,0.40319,2.04759,1.66181,0.99815,0.000795954,0.000795954,0.000795954
32,2782.39,2.27108,2.17732,1.03765,0.73111,0.54789,0.54575,0.42343,2.13362,1.51867,1.01736,0.000783231,0.000783231,0.000783231
33,2870.7,2.24346,2.15325,1.03879,0.71287,0.44843,0.4778,0.37185,2.02368,1.79987,0.9839,0.000770234,0.000770234,0.000770234
34,2958.6,2.24947,2.18655,1.02318,0.78142,0.47456,0.53214,0.42139,1.99803,1.78647,0.99146,0.000756976,0.000756976,0.000756976
35,3045.77,2.24177,2.07692,1.032,0.69301,0.49141,0.49515,0.39609,2.00247,1.72617,0.99249,0.000743468,0.000743468,0.000743468
36,3132,2.20266,2.00399,1.02749,0.72965,0.55922,0.54969,0.43214,2.01929,1.53657,0.9897,0.000729725,0.000729725,0.000729725
37,3219.12,2.19448,2.17686,1.01571,0.69721,0.50487,0.50607,0.38549,2.10542,1.73923,1.00392,0.000715761,0.000715761,0.000715761
38,3306.18,2.20927,2.08634,1.02621,0.71019,0.50778,0.52272,0.41265,2.03848,1.5997,0.99235,0.000701588,0.000701588,0.000701588
39,3393.45,2.17068,2.05987,1.01522,0.73054,0.56626,0.53035,0.4246,2.01415,1.89387,1.00135,0.000687222,0.000687222,0.000687222
40,3480.21,2.18071,2.08726,1.01705,0.71041,0.51903,0.52581,0.41024,2.0439,1.66438,0.99135,0.000672675,0.000672675,0.000672675
41,3567.17,2.18954,2.03763,1.01604,0.71923,0.56281,0.56036,0.44382,1.97176,1.53833,0.98413,0.000657963,0.000657963,0.000657963
42,3654.25,2.19283,1.94318,1.03242,0.70368,0.5626,0.5288,0.42196,2.00346,1.50114,0.9876,0.000643101,0.000643101,0.000643101
43,3740.81,2.21653,1.95039,1.01939,0.60566,0.57033,0.43946,0.35938,2.14032,2.29503,1.01977,0.000628101,0.000628101,0.000628101
44,3827.47,2.21567,1.96823,1.02799,0.67877,0.52418,0.46497,0.37164,2.08868,1.88259,1.00772,0.000612981,0.000612981,0.000612981
45,3914.08,2.16868,1.94364,1.02064,0.75041,0.54946,0.55319,0.43652,1.98604,1.51062,0.98434,0.000597754,0.000597754,0.000597754
46,4001.03,2.16676,1.90498,1.02692,0.67999,0.56224,0.48541,0.38718,2.07093,1.76865,0.99509,0.000582435,0.000582435,0.000582435
47,4087.51,2.16657,1.94946,1.0149,0.74665,0.5626,0.56557,0.44557,2.02075,1.51285,0.9899,0.00056704,0.00056704,0.00056704
48,4175.27,2.18634,1.87925,1.01,0.74822,0.56885,0.55609,0.43654,2.00268,1.70483,0.98453,0.000551584,0.000551584,0.000551584
49,4261.97,2.16229,1.87957,1.01163,0.71688,0.54653,0.5141,0.41049,2.02094,1.6345,0.98898,0.000536081,0.000536081,0.000536081
50,4348.74,2.19713,1.96996,1.02639,0.69164,0.53374,0.53794,0.41832,1.99453,1.68399,0.97144,0.000520548,0.000520548,0.000520548
51,4435.16,2.15794,1.93815,1.00116,0.70264,0.50873,0.50854,0.40535,1.98777,1.60807,0.9793,0.000505,0.000505,0.000505
52,4522.26,2.13414,1.85119,1.00619,0.75176,0.5376,0.53215,0.41914,1.99101,1.60437,0.98557,0.000489452,0.000489452,0.000489452
53,4608.65,2.16928,1.92201,1.01401,0.79323,0.57697,0.59064,0.46071,2.00456,1.46415,0.97495,0.000473919,0.000473919,0.000473919
54,4695.43,2.14406,1.86801,0.99275,0.69744,0.53668,0.51802,0.40935,1.99682,1.79138,0.97767,0.000458416,0.000458416,0.000458416
55,4782.56,2.15419,1.81345,1.01208,0.73405,0.55837,0.55287,0.43348,1.97328,1.64857,0.96961,0.00044296,0.00044296,0.00044296
56,4871.55,2.15497,1.91816,1.0032,0.71698,0.59092,0.5424,0.43395,1.97265,1.54971,0.97741,0.000427565,0.000427565,0.000427565
57,4960.02,2.12727,1.83482,0.99874,0.78429,0.56463,0.59285,0.45886,2.01228,1.54122,0.97882,0.000412246,0.000412246,0.000412246
58,5047.6,2.14062,1.8719,0.99699,0.77403,0.57813,0.58369,0.45454,1.9559,1.50179,0.97047,0.000397019,0.000397019,0.000397019
59,5135.39,2.14855,1.82234,1.00107,0.68742,0.57213,0.4963,0.39633,1.97909,1.80739,0.97657,0.000381899,0.000381899,0.000381899
60,5222.87,2.11492,1.7435,0.99006,0.76289,0.60044,0.57634,0.45671,1.97542,1.55005,0.97695,0.000366899,0.000366899,0.000366899
61,5310.91,2.12203,1.85079,0.99897,0.68906,0.5537,0.48934,0.39147,2.00211,2.03507,0.97986,0.000352037,0.000352037,0.000352037
62,5398.42,2.10322,1.8117,1.00104,0.67065,0.57216,0.47219,0.38471,2.04449,1.81978,0.99022,0.000337325,0.000337325,0.000337325
63,5485.62,2.14756,1.93967,0.99501,0.8053,0.60914,0.62476,0.48592,1.95383,1.40232,0.97171,0.000322778,0.000322778,0.000322778
64,5572.46,2.11187,1.8264,0.99432,0.77527,0.58687,0.58852,0.46286,1.96046,1.50327,0.97334,0.000308412,0.000308412,0.000308412
65,5658.87,2.1012,1.73407,0.99432,0.79769,0.61039,0.62788,0.48768,1.91897,1.353,0.96041,0.000294239,0.000294239,0.000294239
66,5745.95,2.09043,1.79256,0.99469,0.78748,0.60428,0.60449,0.47856,1.9296,1.37703,0.96908,0.000280275,0.000280275,0.000280275
67,5832.61,2.09508,1.71526,0.98066,0.76626,0.60334,0.57934,0.45773,2.0022,1.42845,0.97844,0.000266532,0.000266532,0.000266532
68,5919.09,2.10185,1.80831,0.9943,0.77542,0.60287,0.60258,0.47488,1.90973,1.42618,0.96202,0.000253024,0.000253024,0.000253024
69,6005.42,2.08693,1.87533,0.98645,0.77015,0.60103,0.58429,0.45865,1.96779,1.52508,0.97022,0.000239766,0.000239766,0.000239766
70,6092.21,2.14896,1.77887,1.0047,0.77203,0.59496,0.59397,0.46312,1.92931,1.47011,0.9608,0.000226769,0.000226769,0.000226769
71,6178.17,2.06856,1.65041,0.98172,0.74207,0.58981,0.56033,0.44205,1.97258,1.71374,0.97129,0.000214046,0.000214046,0.000214046
72,6264.79,2.09552,1.74455,0.99583,0.80744,0.62602,0.60237,0.48036,1.92248,1.31582,0.96254,0.000201611,0.000201611,0.000201611
73,6351.6,2.11422,1.75393,0.99302,0.61201,0.5797,0.54301,0.42341,1.96152,1.81819,0.96596,0.000189475,0.000189475,0.000189475
74,6439.05,2.08823,1.68214,0.97727,0.8,0.61041,0.62014,0.48625,1.92983,1.38783,0.962,0.000177651,0.000177651,0.000177651
75,6525.64,2.13738,1.71194,0.99274,0.77736,0.60802,0.56995,0.44927,1.99568,1.56037,0.97437,0.000166149,0.000166149,0.000166149
76,6612.55,2.09393,1.68279,0.99394,0.65715,0.59423,0.49464,0.39572,1.93026,1.76141,0.96938,0.000154982,0.000154982,0.000154982
77,6698.64,2.07783,1.71293,0.99035,0.80921,0.61526,0.61833,0.48621,1.92558,1.31195,0.96043,0.000144161,0.000144161,0.000144161
78,6785.56,2.12723,1.84493,1.00585,0.74431,0.60103,0.58945,0.4619,1.89644,1.69637,0.95092,0.000133695,0.000133695,0.000133695
79,6872.02,2.0216,1.61502,0.97505,0.73235,0.59165,0.54954,0.43664,1.95498,1.69309,0.96784,0.000123596,0.000123596,0.000123596
80,6958.68,2.06016,1.65833,0.99505,0.72461,0.58246,0.56457,0.44556,1.92899,1.70487,0.96387,0.000113873,0.000113873,0.000113873
81,7044.95,2.03697,1.66864,0.99583,0.78892,0.61243,0.61175,0.48575,1.90078,1.32781,0.956,0.000104537,0.000104537,0.000104537
82,7131.54,2.0886,1.64136,0.99188,0.78415,0.61077,0.61353,0.48309,1.90411,1.46929,0.95586,9.55951e-05,9.55951e-05,9.55951e-05
83,7218.3,2.0134,1.66039,0.98295,0.80918,0.62548,0.62603,0.49319,1.88922,1.32771,0.95458,8.70577e-05,8.70577e-05,8.70577e-05
84,7305.55,2.07022,1.63495,0.98112,0.78002,0.62401,0.60923,0.47893,1.9203,1.41099,0.95968,7.89327e-05,7.89327e-05,7.89327e-05
85,7391.75,2.04787,1.61859,0.98449,0.81014,0.62567,0.64054,0.50142,1.89668,1.28913,0.95276,7.12282e-05,7.12282e-05,7.12282e-05
86,7478.72,2.07681,1.62262,0.99243,0.77557,0.61261,0.61426,0.48097,1.91161,1.3783,0.95413,6.39518e-05,6.39518e-05,6.39518e-05
87,7564.77,2.06026,1.56858,0.97665,0.79578,0.6264,0.63569,0.49699,1.88743,1.30525,0.95066,5.71106e-05,5.71106e-05,5.71106e-05
88,7650.87,2.04484,1.60003,0.9947,0.79342,0.62282,0.61713,0.48658,1.89168,1.32041,0.95597,5.07115e-05,5.07115e-05,5.07115e-05
89,7737,2.05402,1.57064,0.9905,0.75673,0.61196,0.59656,0.46997,1.90156,1.50195,0.95508,4.47606e-05,4.47606e-05,4.47606e-05
90,7823.77,2.07119,1.68328,0.97038,0.76261,0.61071,0.6138,0.47906,1.89062,1.39203,0.95188,3.9264e-05,3.9264e-05,3.9264e-05
91,7909.39,2.10182,1.74855,0.97802,0.76506,0.57823,0.5833,0.45239,1.95136,1.47088,0.96603,3.4227e-05,3.4227e-05,3.4227e-05
92,7994.58,2.02933,1.69412,0.95625,0.77366,0.59515,0.59953,0.46829,1.94579,1.43087,0.96338,2.96546e-05,2.96546e-05,2.96546e-05
93,8079.87,2.04647,1.70623,0.9624,0.79846,0.59974,0.62116,0.48478,1.91835,1.4044,0.95583,2.55513e-05,2.55513e-05,2.55513e-05
94,8164.9,2.0559,1.65094,0.95953,0.80048,0.60782,0.62759,0.48803,1.91744,1.36643,0.95457,2.19212e-05,2.19212e-05,2.19212e-05
95,8250.54,2.09215,1.66764,0.97834,0.80397,0.5979,0.6235,0.4873,1.90567,1.3624,0.95273,1.87678e-05,1.87678e-05,1.87678e-05
96,8335.58,2.00349,1.62996,0.9446,0.8027,0.59459,0.61644,0.48136,1.91878,1.37587,0.95844,1.60943e-05,1.60943e-05,1.60943e-05
97,8420.66,2.04519,1.72071,0.95174,0.7869,0.57911,0.59617,0.46266,1.95683,1.42776,0.96933,1.39032e-05,1.39032e-05,1.39032e-05
98,8506.04,2.02513,1.64301,0.95604,0.79379,0.59809,0.62034,0.48434,1.9093,1.39134,0.95334,1.21968e-05,1.21968e-05,1.21968e-05
99,8591.26,2.02133,1.65454,0.96966,0.79647,0.59862,0.61304,0.47614,1.92466,1.36421,0.95916,1.09768e-05,1.09768e-05,1.09768e-05
100,8676.87,2.03681,1.68565,0.96372,0.78062,0.59,0.59111,0.4606,1.96002,1.43775,0.97095,1.02443e-05,1.02443e-05,1.02443e-05
