epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0736,3.5381,3.4963,1.5548,0.14114,0.50726,0.06658,0.07209,3.29571,4.5928,1.45425,0.0670529,0.000332799,0.000332799
2,131.109,2.91543,2.96083,1.26851,0.37003,0.43537,0.24418,0.20438,2.62862,2.33466,1.19976,0.0340527,0.00066597,0.00066597
3,195.563,2.73591,2.79069,1.20548,0.50006,0.3508,0.26285,0.21989,2.5218,2.23844,1.1529,0.00105191,0.00099849,0.00099849
4,260.617,2.70275,2.76522,1.18798,0.62398,0.36916,0.35288,0.28153,2.36594,2.07006,1.12616,0.000997803,0.000997803,0.000997803
5,325.762,2.60559,2.64777,1.16982,0.71091,0.33719,0.3857,0.30233,2.30394,2.26945,1.09125,0.000996097,0.000996097,0.000996097
6,390.452,2.53997,2.57451,1.1374,0.59145,0.38867,0.33138,0.26337,2.34433,2.11149,1.10391,0.000993906,0.000993906,0.000993906
7,454.914,2.50518,2.53294,1.14419,0.69541,0.34197,0.37072,0.28805,2.27761,2.42121,1.08059,0.000991232,0.000991232,0.000991232
8,519.128,2.44594,2.49502,1.11304,0.38205,0.47288,0.2111,0.16977,2.3525,inf,1.11014,0.000988079,0.000988079,0.000988079
9,583.89,2.44984,2.44151,1.13602,0.37993,0.39493,0.2131,0.16905,2.24181,inf,1.07927,0.000984449,0.000984449,0.000984449
10,648.708,2.47649,2.4246,1.11839,0.37019,0.47564,0.21513,0.173,2.21983,16.8882,1.06155,0.000980345,0.000980345,0.000980345
11,713.89,2.44247,2.43205,1.11604,0.37317,0.48961,0.19793,0.16531,2.34426,7.37742,1.11197,0.000975773,0.000975773,0.000975773
12,778.474,2.40976,2.47875,1.11477,0.65582,0.50763,0.4616,0.36579,2.15167,1.7433,1.04709,0.000970736,0.000970736,0.000970736
13,843.615,2.44706,2.58935,1.08976,0.3822,0.42894,0.21772,0.17429,2.19255,4.06358,1.05443,0.000965239,0.000965239,0.000965239
14,908.069,2.3908,2.42037,1.10418,0.35542,0.44365,0.19739,0.15997,2.16471,inf,1.04609,0.000959289,0.000959289,0.000959289
15,972.53,2.38453,2.51604,1.09441,0.39436,0.45541,0.22609,0.17847,2.13404,10.2621,1.03443,0.000952889,0.000952889,0.000952889
16,1037.1,2.37462,2.3449,1.09835,0.37226,0.39196,0.20977,0.16207,2.17644,14.5431,1.03842,0.000946048,0.000946048,0.000946048
17,1101.55,2.35474,2.33076,1.06875,0.43973,0.51458,0.3673,0.29419,2.25672,3.12673,1.07691,0.000938772,0.000938772,0.000938772
18,1166.85,2.32236,2.36158,1.07729,0.72438,0.4567,0.45931,0.35443,2.24368,1.92727,1.05028,0.000931067,0.000931067,0.000931067
19,1231.57,2.34643,2.33266,1.06003,0.65279,0.50211,0.46686,0.36758,2.11456,1.78181,1.02997,0.000922942,0.000922942,0.000922942
20,1297.64,2.26444,2.20149,1.06075,0.79564,0.41087,0.48767,0.38494,2.07366,1.90608,1.01768,0.000914405,0.000914405,0.000914405
21,1362.41,2.27145,2.1472,1.05321,0.4701,0.50028,0.41119,0.32176,2.09786,2.12365,1.01672,0.000905463,0.000905463,0.000905463
22,1426.77,2.30895,2.19482,1.06093,0.40969,0.49329,0.24326,0.19426,2.15649,9.98489,1.04132,0.000896127,0.000896127,0.000896127
23,1491.64,2.28618,2.18173,1.06664,0.41547,0.51606,0.2405,0.19028,2.27082,inf,1.05344,0.000886404,0.000886404,0.000886404
24,1556.23,2.23084,2.14138,1.03357,0.43989,0.53907,0.27542,0.2188,2.08769,inf,1.02098,0.000876305,0.000876305,0.000876305
25,1621.3,2.29194,2.13453,1.05394,0.70812,0.46746,0.43572,0.35093,2.1183,2.06899,1.0254,0.000865839,0.000865839,0.000865839
26,1686.05,2.2676,2.21475,1.03733,0.72233,0.47207,0.49968,0.39611,2.07539,1.83235,1.01285,0.000855018,0.000855018,0.000855018
27,1751.35,2.33472,2.11977,1.07531,0.44847,0.5569,0.28983,0.22442,2.15667,inf,1.027,0.000843851,0.000843851,0.000843851
28,1815.59,2.27296,2.23007,1.0247,0.41585,0.48851,0.24875,0.19512,2.14499,inf,1.01044,0.000832349,0.000832349,0.000832349
29,1880.84,2.25069,2.16217,1.03796,0.25142,0.48869,0.14394,0.11754,2.19116,inf,1.04479,0.000820525,0.000820525,0.000820525
30,1946.12,2.28752,2.1586,1.0526,0.4289,0.4877,0.26478,0.20995,2.00764,13.0139,0.98881,0.000808389,0.000808389,0.000808389
31,2010.79,2.21847,2.109,1.03215,0.44616,0.54164,0.28462,0.22625,1.9992,13.1145,0.99547,0.000795954,0.000795954,0.000795954
32,2075.15,2.24333,2.1437,1.0349,0.75492,0.55896,0.5725,0.44855,1.99292,1.53684,0.99403,0.000783231,0.000783231,0.000783231
33,2140.12,2.22273,2.1057,1.04434,0.77884,0.48777,0.52887,0.4088,2.01351,1.77827,0.98879,0.000770234,0.000770234,0.000770234
34,2204.69,2.23949,2.16119,1.03668,0.43137,0.41828,0.26551,0.20884,2.09461,5.86335,1.01544,0.000756976,0.000756976,0.000756976
35,2268.76,2.24403,2.07872,1.03169,0.42966,0.51131,0.26226,0.20587,2.09648,11.6262,1.0101,0.000743468,0.000743468,0.000743468
36,2332.86,2.22476,2.03908,1.04094,0.73527,0.53576,0.54481,0.42038,2.0582,1.67647,0.98879,0.000729725,0.000729725,0.000729725
37,2396.78,2.22795,2.21301,1.01876,0.73885,0.52399,0.52698,0.41132,2.13799,1.71519,1.03044,0.000715761,0.000715761,0.000715761
38,2461.7,2.22095,1.98018,1.0497,0.7277,0.52602,0.53784,0.42243,2.0587,1.6892,1.00857,0.000701588,0.000701588,0.000701588
39,2526.34,2.15472,1.97867,1.02638,0.42165,0.49678,0.25852,0.20097,2.12299,7.10001,1.01954,0.000687222,0.000687222,0.000687222
40,2590.64,2.17996,2.05066,1.02331,0.83429,0.52418,0.56625,0.43609,2.00566,1.77942,0.99142,0.000672675,0.000672675,0.000672675
41,2655.13,2.19835,2.05755,1.02751,0.7505,0.55361,0.56327,0.43918,1.99506,1.64417,0.99212,0.000657963,0.000657963,0.000657963
42,2719.78,2.18269,1.92972,1.0313,0.73231,0.57069,0.55823,0.43905,1.99151,1.6844,0.98497,0.000643101,0.000643101,0.000643101
43,2784.39,2.19463,1.96698,1.02531,0.52478,0.58372,0.32997,0.26553,2.07558,3.28292,1.00671,0.000628101,0.000628101,0.000628101
44,2849.06,2.20072,1.94681,1.02553,0.477,0.49439,0.37578,0.29541,2.05856,2.64689,1.00905,0.000612981,0.000612981,0.000612981
45,2913.68,2.17346,1.93452,1.0274,0.74222,0.55373,0.55085,0.43001,1.99676,1.53615,0.98712,0.000597754,0.000597754,0.000597754
46,2978.09,2.1605,1.92477,1.03422,0.7358,0.55404,0.51536,0.4098,2.04614,1.71297,0.99759,0.000582435,0.000582435,0.000582435
47,3042.29,2.15919,1.88046,1.01875,0.51711,0.5718,0.34651,0.27178,1.97679,3.45905,0.98037,0.00056704,0.00056704,0.00056704
48,3106.53,2.18666,1.86939,1.0133,0.49448,0.56352,0.32953,0.25789,1.99216,3.58279,0.97828,0.000551584,0.000551584,0.000551584
49,3171.34,2.15082,1.83108,1.01293,0.42912,0.53999,0.27064,0.21501,2.03073,9.68886,0.99292,0.000536081,0.000536081,0.000536081
50,3235.57,2.19264,1.94167,1.02521,0.44905,0.52436,0.29077,0.22573,2.03327,8.16445,0.9821,0.000520548,0.000520548,0.000520548
51,3299.82,2.14718,1.92623,1.00289,0.85863,0.46038,0.53209,0.41135,2.07257,1.74575,0.99737,0.000505,0.000505,0.000505
52,3364.49,2.16097,1.83814,1.02022,0.47044,0.52344,0.29532,0.23527,1.99999,4.40196,0.99198,0.000489452,0.000489452,0.000489452
