epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.983,3.05119,inf,1.55285,0.04846,0.17908,0.03638,0.01199,nan,nan,nan,0.000665598,0.000665598,0.000665598
2,189.601,2.95855,inf,1.39506,0.32944,0.2061,0.17965,0.05751,2.95839,2.81058,1.31217,0.00120037,0.00120037,0.00120037
3,281.43,2.75789,3.58817,1.32149,0.11202,0.39732,0.15882,0.06281,2.7299,3.0907,1.30413,0.00160314,0.00160314,0.00160314
4,375.59,2.61514,3.30869,1.23795,0.43189,0.25467,0.25115,0.0923,2.57683,2.61865,1.19116,0.001406,0.001406,0.001406
5,471.288,2.5878,inf,1.22825,0.49775,0.27156,0.2879,0.09882,2.64019,2.65531,1.23153,0.001208,0.001208,0.001208
6,567.067,2.54788,inf,1.20076,0.50116,0.33719,0.33705,0.12552,2.393,2.31844,1.14349,0.00101,0.00101,0.00101
7,663.012,2.49102,2.92086,1.19975,0.29672,0.33352,0.20807,0.07781,2.51491,3.50756,1.16871,0.000812,0.000812,0.000812
8,753.612,2.48229,2.81633,1.18642,0.54326,0.34308,0.3574,0.14522,2.36084,2.23374,1.1467,0.000614,0.000614,0.000614
9,849.043,2.40691,inf,1.16286,0.51499,0.34951,0.34782,0.13988,2.31993,2.20303,1.12978,0.000416,0.000416,0.000416
10,939.419,2.45034,2.72972,1.18193,0.54535,0.30699,0.32665,0.13476,2.32949,inf,1.13039,0.000218,0.000218,0.000218
