epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.179,3.26029,4.98909,1.70664,0.05905,0.20886,0.03904,0.01383,2.96624,inf,1.33317,0.000665598,0.000665598,0.000665598
2,322.222,2.90898,2.99178,1.37142,0.07131,0.25097,0.04646,0.0181,nan,nan,nan,0.00131908,0.00131908,0.00131908
3,496.325,2.79257,2.89109,1.31615,0.16795,0.303,0.09723,0.03321,2.71243,24.5154,1.22379,0.00195935,0.00195935,0.00195935
4,670.943,2.66859,2.88723,1.22517,0.29103,0.38316,0.22065,0.08302,2.45318,8.77939,1.15014,0.0019406,0.0019406,0.0019406
5,843.711,2.65911,2.81344,1.25629,0.36859,0.2859,0.22836,0.09259,2.35083,3.45007,1.12761,0.0019208,0.0019208,0.0019208
6,1018.23,2.61409,2.70391,1.23121,0.55481,0.31384,0.3516,0.1365,2.32029,2.07042,1.1083,0.001901,0.001901,0.001901
7,1190.74,2.58343,2.60062,1.20282,0.52135,0.36827,0.36214,0.1487,2.28442,1.78631,1.10108,0.0018812,0.0018812,0.0018812
8,1363.64,2.49955,2.57181,1.17667,0.38356,0.30991,0.25584,0.09463,2.5128,3.0619,1.17471,0.0018614,0.0018614,0.0018614
9,1523.41,2.45807,2.45965,1.15308,0.57975,0.32432,0.36964,0.14682,2.27821,2.07641,1.08504,0.0018416,0.0018416,0.0018416
10,1682.5,2.46935,2.58412,1.1727,0.53925,0.40688,0.40112,0.16833,2.14641,1.98253,1.05244,0.0018218,0.0018218,0.0018218
11,1859.93,2.40447,2.41531,1.13018,0.49459,0.41736,0.38535,0.16574,2.15857,2.39783,1.06476,0.001802,0.001802,0.001802
12,2020.53,2.41694,2.40727,1.13981,0.35627,0.3758,0.32264,0.12847,2.26927,3.28119,1.08319,0.0017822,0.0017822,0.0017822
13,2184.65,2.37794,2.46679,1.14152,0.50725,0.36661,0.35492,0.1314,2.24996,1.79244,1.06829,0.0017624,0.0017624,0.0017624
14,2348.32,2.36937,2.31306,1.13409,0.44693,0.36054,0.342,0.13752,2.26451,1.95331,1.09428,0.0017426,0.0017426,0.0017426
15,2516.41,2.38383,2.31623,1.12091,0.4901,0.4203,0.39452,0.15422,2.23136,1.98839,1.07086,0.0017228,0.0017228,0.0017228
16,2685.94,2.35135,2.27164,1.13695,0.54842,0.42324,0.43116,0.17287,2.23076,1.83208,1.07148,0.001703,0.001703,0.001703
17,2871.51,2.3435,2.37816,1.1324,0.68868,0.31968,0.43455,0.1727,2.26144,1.93547,1.0723,0.0016832,0.0016832,0.0016832
18,3032.79,2.32596,2.26665,1.09999,0.47538,0.42453,0.38955,0.16676,2.15906,1.79286,1.05666,0.0016634,0.0016634,0.0016634
19,3197.51,2.36005,2.29199,1.10078,0.46776,0.40314,0.37362,0.1572,2.24049,2.61733,1.08356,0.0016436,0.0016436,0.0016436
20,3373.32,2.29231,2.13328,1.10558,0.62137,0.47583,0.511,0.21163,2.09846,1.66667,1.03931,0.0016238,0.0016238,0.0016238
21,3549.17,2.2984,2.16011,1.10884,0.54787,0.40593,0.41619,0.15625,2.21543,2.29785,1.05197,0.001604,0.001604,0.001604
