epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.741,3.42458,6.36346,1.86035,0.02726,0.10075,0.01542,0.00594,3.48886,inf,1.65235,0.000665598,0.000665598,0.000665598
2,225.112,3.11949,3.45227,1.46675,0.28045,0.26347,0.18303,0.06743,2.70939,2.48514,1.25093,0.00131908,0.00131908,0.00131908
3,329.985,2.8617,3.15492,1.33715,0.31973,0.37838,0.27273,0.09171,2.61886,2.31895,1.21583,0.00195935,0.00195935,0.00195935
4,433.621,2.73322,2.98081,1.25355,0.53134,0.35374,0.35776,0.11137,2.63582,2.0621,1.19393,0.0019406,0.0019406,0.0019406
5,538.911,2.70409,2.86926,1.26782,0.39743,0.37911,0.31799,0.11428,2.43711,2.21548,1.15753,0.0019208,0.0019208,0.0019208
6,642.838,2.64196,2.79301,1.23843,0.53449,0.30392,0.33062,0.10734,2.4942,2.04439,1.13894,0.001901,0.001901,0.001901
7,745.681,2.59053,2.65117,1.20995,0.49527,0.35172,0.34208,0.12408,2.43116,1.90616,1.12546,0.0018812,0.0018812,0.0018812
8,851.687,2.54373,2.6353,1.18638,0.4245,0.29803,0.29509,0.11549,2.44843,3.58913,1.14382,0.0018614,0.0018614,0.0018614
9,954.26,2.50782,2.56537,1.1693,0.46202,0.34137,0.33087,0.12844,2.39715,1.96126,1.13086,0.0018416,0.0018416,0.0018416
10,1061.48,2.52124,2.6201,1.19681,0.54135,0.36514,0.36879,0.14509,2.30117,1.82717,1.09961,0.0018218,0.0018218,0.0018218
11,1166.15,2.45804,2.4724,1.15142,0.3933,0.35723,0.26166,0.10611,2.26926,9.57835,1.10124,0.001802,0.001802,0.001802
12,1270.09,2.45446,2.46113,1.15335,0.20403,0.39934,0.13494,0.05949,2.23481,17.1463,1.0827,0.0017822,0.0017822,0.0017822
13,1373.73,2.39084,2.48911,1.14618,0.53319,0.39732,0.36817,0.13508,2.2752,2.2313,1.08003,0.0017624,0.0017624,0.0017624
14,1476.56,2.38561,2.37024,1.14191,0.39387,0.29785,0.24656,0.0974,2.25381,2.3738,1.08808,0.0017426,0.0017426,0.0017426
15,1580.32,2.4036,2.3976,1.12378,0.52086,0.42048,0.42165,0.13851,2.49636,2.28999,1.14082,0.0017228,0.0017228,0.0017228
16,1683.77,2.44051,2.41701,1.1612,0.50262,0.39566,0.38546,0.14245,2.33964,2.45349,1.09342,0.001703,0.001703,0.001703
17,1786.31,2.37399,2.33619,1.13672,0.49032,0.38771,0.32183,0.13312,2.25627,1.98463,1.07629,0.0016832,0.0016832,0.0016832
18,1889.63,2.36556,2.23694,1.11368,0.38266,0.40173,0.25342,0.10869,2.16979,3.02568,1.0586,0.0016634,0.0016634,0.0016634
19,1993.81,2.37411,2.29704,1.10642,0.56121,0.4374,0.44311,0.17868,2.19653,2.14188,1.06097,0.0016436,0.0016436,0.0016436
20,2098.68,2.37113,2.17673,1.12666,0.64728,0.43924,0.49344,0.18906,2.18156,1.85435,1.05683,0.0016238,0.0016238,0.0016238
21,2205.31,2.34145,2.29981,1.12514,0.39408,0.42545,0.25958,0.1076,2.16645,4.26725,1.05305,0.001604,0.001604,0.001604
22,2308.66,2.27971,2.31718,1.09646,0.63022,0.45725,0.49811,0.21427,2.10847,1.73245,1.04308,0.0015842,0.0015842,0.0015842
23,2413.36,2.31398,2.20352,1.09298,0.52265,0.42471,0.4167,0.17421,2.19316,2.23733,1.06528,0.0015644,0.0015644,0.0015644
24,2517.52,2.36206,2.21964,1.12514,0.52184,0.41515,0.39383,0.15489,2.26012,2.2227,1.08067,0.0015446,0.0015446,0.0015446
25,2620.02,2.27886,2.15013,1.09438,0.66377,0.46203,0.51167,0.22525,2.05255,1.67605,1.03134,0.0015248,0.0015248,0.0015248
26,2725.08,2.31748,2.202,1.10422,0.60186,0.46424,0.48718,0.20733,2.10906,1.91696,1.04194,0.001505,0.001505,0.001505
27,2827.9,2.33385,2.18916,1.11267,0.58118,0.43832,0.46363,0.20037,2.11634,1.80672,1.03661,0.0014852,0.0014852,0.0014852
28,2932.85,2.30042,2.17522,1.10231,0.53748,0.41515,0.40774,0.17873,2.14148,2.31936,1.05408,0.0014654,0.0014654,0.0014654
29,3035.47,2.27642,2.19269,1.08331,0.54865,0.4203,0.40646,0.15857,2.28301,2.02878,1.08913,0.0014456,0.0014456,0.0014456
30,3137.46,2.28622,1.98524,1.0868,0.60713,0.46277,0.49179,0.20708,2.10379,1.89359,1.03795,0.0014258,0.0014258,0.0014258
31,3240.68,2.31205,2.0849,1.10334,0.64043,0.51151,0.48756,0.2158,2.01009,2.35626,1.01897,0.001406,0.001406,0.001406
32,3344.8,2.24429,2.08804,1.06824,0.63449,0.46022,0.5019,0.22171,2.07971,1.75029,1.03098,0.0013862,0.0013862,0.0013862
33,3447.53,2.23359,2.19459,1.07955,0.69382,0.49476,0.54566,0.23914,2.03772,1.75436,1.02111,0.0013664,0.0013664,0.0013664
34,3554.1,2.29296,2.35599,1.08544,0.5965,0.49605,0.45199,0.20693,2.02225,3.10227,1.02103,0.0013466,0.0013466,0.0013466
35,3657.47,2.23263,2.10728,1.05732,0.67467,0.50406,0.55225,0.24332,2.06025,1.5251,1.01938,0.0013268,0.0013268,0.0013268
36,3762.54,2.23973,2.10923,1.08428,0.63183,0.47104,0.47875,0.18687,2.25387,2.01066,1.07631,0.001307,0.001307,0.001307
37,3867.08,2.25464,2.00145,1.09206,0.63451,0.48097,0.48921,0.20947,2.14082,1.84318,1.04969,0.0012872,0.0012872,0.0012872
38,3970.68,2.2596,2.0081,1.09882,0.64143,0.49623,0.48059,0.21074,2.04593,2.07763,1.02598,0.0012674,0.0012674,0.0012674
39,4074.93,2.22734,1.948,1.06766,0.63451,0.49789,0.47842,0.21899,1.9847,2.58291,1.01286,0.0012476,0.0012476,0.0012476
40,4179.75,2.25484,1.96842,1.08501,0.62548,0.4852,0.48321,0.21194,2.01632,2.11707,1.01988,0.0012278,0.0012278,0.0012278
41,4284.79,2.18702,1.96244,1.0648,0.68189,0.50762,0.5297,0.24599,1.97936,1.60838,1.01209,0.001208,0.001208,0.001208
42,4390.41,2.18804,1.96074,1.07205,0.64294,0.5023,0.50399,0.22605,2.00372,1.69917,1.01418,0.0011882,0.0011882,0.0011882
43,4493.9,2.2005,1.96104,1.0782,0.63279,0.49384,0.52095,0.23068,2.04432,2.29487,1.01915,0.0011684,0.0011684,0.0011684
44,4599.18,2.20191,1.93991,1.07609,0.69871,0.50781,0.55749,0.24343,2.05731,1.68503,1.02541,0.0011486,0.0011486,0.0011486
45,4702.84,2.20317,2.19893,1.0603,0.6997,0.46406,0.51872,0.21869,2.10079,1.88438,1.02799,0.0011288,0.0011288,0.0011288
46,4807.87,2.21805,2.02435,1.07414,0.3601,0.48042,0.25047,0.10978,2.09967,7.00195,1.02997,0.001109,0.001109,0.001109
47,4912.48,2.20631,1.9459,1.06466,0.66418,0.51958,0.50266,0.21336,2.05884,3.55199,1.02485,0.0010892,0.0010892,0.0010892
48,5016.87,2.14658,1.82019,1.06331,0.64294,0.5159,0.50162,0.20582,2.11226,3.03963,1.03599,0.0010694,0.0010694,0.0010694
49,5121.14,2.20635,1.9485,1.06773,0.67159,0.5117,0.52684,0.23052,2.05028,1.9619,1.02135,0.0010496,0.0010496,0.0010496
