epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.58,3.25063,5.69641,1.63141,0.09796,0.33628,0.13112,0.0432,3.07189,3.25607,1.41282,0.000665598,0.000665598,0.000665598
2,152.679,2.918,3.12473,1.38995,0.3111,0.34639,0.23564,0.07752,2.7744,2.25339,1.2894,0.00131908,0.00131908,0.00131908
3,234.485,2.77925,3.03355,1.32201,0.55716,0.31918,0.34414,0.12359,2.57679,2.28142,1.20788,0.00195935,0.00195935,0.00195935
4,316.387,2.67174,2.98159,1.24201,0.2889,0.3166,0.2089,0.06297,2.73144,12.7495,1.20611,0.0019406,0.0019406,0.0019406
5,393.59,2.65078,2.89919,1.26449,0.26026,0.33831,0.22562,0.08747,2.4654,3.6085,1.15065,0.0019208,0.0019208,0.0019208
6,470.742,2.58969,2.80441,1.2367,0.48426,0.41166,0.35097,0.13518,2.28821,2.17894,1.11126,0.001901,0.001901,0.001901
7,551.87,2.64437,2.68774,1.23315,0.52557,0.37139,0.35413,0.10239,2.55261,1.94191,1.15362,0.0018812,0.0018812,0.0018812
8,629.799,2.55787,2.61532,1.19833,0.48352,0.37691,0.33976,0.13015,2.38465,3.37471,1.12632,0.0018614,0.0018614,0.0018614
9,708.163,2.45337,2.55821,1.16773,0.44856,0.36036,0.32566,0.11991,2.37976,2.18189,1.12506,0.0018416,0.0018416,0.0018416
10,785.38,2.47221,2.59492,1.19611,0.44494,0.37176,0.35542,0.1424,2.1929,2.35329,1.06906,0.0018218,0.0018218,0.0018218
11,865.386,2.41613,2.50562,1.14867,0.51523,0.44567,0.42246,0.16502,2.26978,2.5289,1.08728,0.001802,0.001802,0.001802
12,945.971,2.43277,2.47138,1.15999,0.46956,0.3554,0.35185,0.14312,2.22356,2.93555,1.08062,0.0017822,0.0017822,0.0017822
13,1021.86,2.37918,2.45197,1.15198,0.59674,0.44783,0.45261,0.17924,2.15818,1.70198,1.05385,0.0017624,0.0017624,0.0017624
14,1103.16,2.37539,2.41426,1.14918,0.5137,0.39676,0.37376,0.15113,2.24795,2.45699,1.08847,0.0017426,0.0017426,0.0017426
15,1180.97,2.39113,2.32968,1.13506,0.58168,0.44236,0.45136,0.15485,2.40196,1.72401,1.11358,0.0017228,0.0017228,0.0017228
16,1257.98,2.39195,2.37529,1.15901,0.49506,0.40761,0.3555,0.13614,2.33959,2.14011,1.1022,0.001703,0.001703,0.001703
17,1336.48,2.3654,2.40398,1.14422,0.63077,0.36588,0.42754,0.17447,2.16893,1.8248,1.06648,0.0016832,0.0016832,0.0016832
18,1413.04,2.36098,2.21455,1.11467,0.62211,0.45371,0.48171,0.19453,2.25958,1.61544,1.07499,0.0016634,0.0016634,0.0016634
19,1493.26,2.36511,2.27213,1.10672,0.58069,0.46289,0.45567,0.19493,2.13365,2.09517,1.05272,0.0016436,0.0016436,0.0016436
20,1572.89,2.29736,2.09506,1.11611,0.66468,0.49678,0.54526,0.23747,2.10351,1.63798,1.04882,0.0016238,0.0016238,0.0016238
21,1652.55,2.29632,2.19893,1.11844,0.49892,0.36997,0.34981,0.1368,2.27031,2.67177,1.07411,0.001604,0.001604,0.001604
22,1728.59,2.2838,2.35764,1.09884,0.66272,0.47722,0.51103,0.20888,2.11753,1.59178,1.05124,0.0015842,0.0015842,0.0015842
23,1805.13,2.31402,2.18892,1.09293,0.60665,0.4537,0.47145,0.19912,2.11162,1.7317,1.04495,0.0015644,0.0015644,0.0015644
24,1881.71,2.32778,2.17295,1.12097,0.60208,0.43982,0.45613,0.18566,2.14297,1.62529,1.05448,0.0015446,0.0015446,0.0015446
25,1958.09,2.2573,2.16524,1.09498,0.72961,0.44034,0.53563,0.23495,2.02602,1.78078,1.02023,0.0015248,0.0015248,0.0015248
26,2035.17,2.28585,2.22306,1.0989,0.64817,0.48281,0.52003,0.2171,2.08625,1.7386,1.03405,0.001505,0.001505,0.001505
27,2111.91,2.29001,2.22799,1.10717,0.67846,0.49269,0.53678,0.22489,2.12222,1.56565,1.03908,0.0014852,0.0014852,0.0014852
28,2188.37,2.25418,2.0911,1.09332,0.67571,0.50185,0.52775,0.21848,2.08938,1.53828,1.03496,0.0014654,0.0014654,0.0014654
29,2264.79,2.23646,2.137,1.08011,0.61676,0.41956,0.45744,0.1951,2.06462,1.7954,1.03457,0.0014456,0.0014456,0.0014456
30,2343.11,2.235,1.93608,1.07658,0.68372,0.52252,0.5657,0.23669,2.06312,1.78193,1.02592,0.0014258,0.0014258,0.0014258
31,2419.95,2.26447,2.05817,1.09506,0.70305,0.50598,0.54781,0.24495,1.98539,1.54089,1.01487,0.001406,0.001406,0.001406
32,2502.77,2.21047,2.06068,1.0628,0.70517,0.50726,0.55412,0.22216,2.08681,1.51714,1.02696,0.0013862,0.0013862,0.0013862
33,2579.55,2.19512,2.13272,1.07308,0.71135,0.5091,0.55968,0.2281,2.04939,1.51664,1.02964,0.0013664,0.0013664,0.0013664
34,2656.95,2.24335,2.24489,1.08036,0.693,0.52336,0.56899,0.23764,2.05746,1.49926,1.02047,0.0013466,0.0013466,0.0013466
35,2734.65,2.21783,1.99297,1.05717,0.69842,0.51848,0.56201,0.2518,2.02347,1.47155,1.01765,0.0013268,0.0013268,0.0013268
36,2816.17,2.21542,2.02594,1.08473,0.66305,0.49825,0.5272,0.2262,2.07722,2.32914,1.0328,0.001307,0.001307,0.001307
37,2893.11,2.21803,1.99708,1.08096,0.66511,0.50246,0.52612,0.23414,2.04258,1.72163,1.02641,0.0012872,0.0012872,0.0012872
38,2969.98,2.22155,1.94668,1.0898,0.72669,0.52344,0.57747,0.26015,1.96101,1.44111,1.00342,0.0012674,0.0012674,0.0012674
39,3049.73,2.21159,1.9088,1.06668,0.70453,0.52252,0.57329,0.24805,2.00776,1.47852,1.00359,0.0012476,0.0012476,0.0012476
40,3126.11,2.23806,1.9155,1.0785,0.72091,0.51006,0.55754,0.23966,2.0031,1.60968,1.02102,0.0012278,0.0012278,0.0012278
41,3201.79,2.16743,1.93058,1.06619,0.71778,0.53727,0.5818,0.26004,1.99399,1.59695,1.01052,0.001208,0.001208,0.001208
42,3277.93,2.18193,2.04206,1.07152,0.64736,0.47932,0.4916,0.22142,1.98129,1.68096,1.01987,0.0011882,0.0011882,0.0011882
43,3354.29,2.17964,1.92235,1.07814,0.71251,0.52436,0.56472,0.23536,2.04569,1.43479,1.01469,0.0011684,0.0011684,0.0011684
44,3430.79,2.17519,1.84406,1.07189,0.75088,0.52712,0.58768,0.25063,2.03254,1.60722,1.02106,0.0011486,0.0011486,0.0011486
45,3506.59,2.17385,2.00082,1.05612,0.71319,0.53778,0.59317,0.2541,2.00608,1.48671,1.00752,0.0011288,0.0011288,0.0011288
46,3583.91,2.18025,2.00262,1.06895,0.6343,0.48121,0.49778,0.21059,2.05482,2.37482,1.02775,0.001109,0.001109,0.001109
47,3661.17,2.16799,1.89103,1.05803,0.72549,0.52877,0.58075,0.25735,1.96861,1.47637,1.00623,0.0010892,0.0010892,0.0010892
48,3739.26,2.13048,1.81069,1.05825,0.64938,0.50781,0.52866,0.22453,2.06133,2.16484,1.02167,0.0010694,0.0010694,0.0010694
49,3816.67,2.15967,1.90811,1.05814,0.72038,0.52399,0.56031,0.24624,1.99381,1.54606,1.00682,0.0010496,0.0010496,0.0010496
50,3894.48,2.15148,1.8087,1.0535,0.75002,0.5417,0.61282,0.2762,1.97423,1.48275,1.00718,0.0010298,0.0010298,0.0010298
51,3975.83,2.14844,2.00388,1.05811,0.74639,0.55231,0.60472,0.25911,1.99323,1.38393,1.00636,0.00101,0.00101,0.00101
52,4053.26,2.13442,1.93103,1.04115,0.74403,0.48152,0.54351,0.24849,1.96748,1.76337,1.00808,0.0009902,0.0009902,0.0009902
53,4130.57,2.17335,1.99863,1.0759,0.72139,0.53227,0.5803,0.26804,1.93039,1.52355,0.99871,0.0009704,0.0009704,0.0009704
54,4207.24,2.14468,1.84589,1.04867,0.72042,0.52589,0.5697,0.25652,1.94978,1.38759,0.99681,0.0009506,0.0009506,0.0009506
55,4284.35,2.16596,1.76884,1.07567,0.74467,0.53374,0.58896,0.26611,1.92279,1.37098,0.992,0.0009308,0.0009308,0.0009308
56,4361.33,2.1344,1.88944,1.03546,0.70872,0.4885,0.54125,0.24189,1.95037,1.57306,1.00803,0.000911,0.000911,0.000911
57,4437.87,2.15311,2.09278,1.05183,0.7354,0.5308,0.59476,0.26504,1.96137,1.49378,0.99296,0.0008912,0.0008912,0.0008912
58,4514.56,2.15981,1.81081,1.05718,0.74665,0.55918,0.60982,0.27528,1.92046,1.39386,0.98654,0.0008714,0.0008714,0.0008714
59,4591.69,2.13777,1.82421,1.06313,0.74869,0.55047,0.60206,0.27249,1.92518,1.40621,0.99608,0.0008516,0.0008516,0.0008516
60,4669.63,2.15774,1.79045,1.0525,0.75427,0.51976,0.59128,0.26448,1.92363,1.43366,0.99111,0.0008318,0.0008318,0.0008318
61,4747.36,2.13637,1.73231,1.0389,0.74107,0.54973,0.61053,0.2742,1.93214,1.42352,0.99003,0.000812,0.000812,0.000812
62,4824.41,2.12452,1.74147,1.03697,0.75156,0.55543,0.61186,0.28376,1.91337,1.3382,0.99068,0.0007922,0.0007922,0.0007922
63,4904.62,2.10583,1.66588,1.06503,0.76333,0.55445,0.62057,0.28648,1.92345,1.37821,0.9921,0.0007724,0.0007724,0.0007724
64,4985.21,2.09814,1.68381,1.0287,0.72194,0.53606,0.58476,0.26247,1.92806,1.83546,0.98947,0.0007526,0.0007526,0.0007526
65,5062.54,2.13523,1.67692,1.048,0.71067,0.5569,0.59083,0.27422,1.90988,1.48596,0.99127,0.0007328,0.0007328,0.0007328
66,5138.45,2.07025,1.70356,1.02828,0.74153,0.51111,0.58999,0.27439,1.87699,1.47648,0.98263,0.000713,0.000713,0.000713
67,5215.36,2.11927,1.72352,1.03076,0.76936,0.55801,0.62566,0.29256,1.887,1.35706,0.98131,0.0006932,0.0006932,0.0006932
68,5295.56,2.10747,1.6734,1.05931,0.78536,0.58394,0.64791,0.30614,1.87324,1.31502,0.98266,0.0006734,0.0006734,0.0006734
69,5375.57,2.06822,1.70863,1.03818,0.7541,0.57989,0.63344,0.295,1.9,1.38504,0.98482,0.0006536,0.0006536,0.0006536
70,5452.39,2.11449,1.70543,1.02757,0.75834,0.56205,0.62199,0.25452,1.98606,1.36343,0.99401,0.0006338,0.0006338,0.0006338
71,5530.59,2.08447,1.64565,1.03691,0.74675,0.54532,0.60237,0.28918,1.90259,1.40369,0.99089,0.000614,0.000614,0.000614
72,5608.14,2.10666,1.61072,1.04303,0.77249,0.57639,0.63475,0.28858,1.93057,1.2877,0.98819,0.0005942,0.0005942,0.0005942
73,5685.49,2.06791,1.63387,1.02573,0.77389,0.57106,0.63292,0.29679,1.9124,1.33911,0.99082,0.0005744,0.0005744,0.0005744
74,5763.01,2.07249,1.56943,1.03118,0.77428,0.57088,0.63615,0.29227,1.8922,1.24584,0.98132,0.0005546,0.0005546,0.0005546
75,5840.86,2.10087,1.61604,1.03556,0.74872,0.56849,0.61417,0.27822,1.92311,1.54792,0.98706,0.0005348,0.0005348,0.0005348
76,5918.8,2.1238,1.61882,1.04999,0.75994,0.58798,0.63879,0.29833,1.91785,1.32158,0.98877,0.000515,0.000515,0.000515
77,5997.04,2.05647,1.56249,1.02052,0.77347,0.56687,0.62517,0.29054,1.93272,1.2509,0.99141,0.0004952,0.0004952,0.0004952
78,6075.51,2.06853,1.55488,1.03026,0.77373,0.58117,0.63754,0.29777,1.89899,1.29031,0.98608,0.0004754,0.0004754,0.0004754
79,6154.54,2.08406,1.69994,1.03477,0.77272,0.59072,0.65354,0.30617,1.90443,1.27529,0.98803,0.0004556,0.0004556,0.0004556
80,6236.91,2.07871,1.5845,1.02861,0.77891,0.57194,0.6321,0.29636,1.89952,1.27079,0.98404,0.0004358,0.0004358,0.0004358
81,6316.14,2.08306,1.60976,1.03582,0.78909,0.5847,0.64611,0.30435,1.87261,1.23754,0.97989,0.000416,0.000416,0.000416
