epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.987,3.21878,5.57773,1.64537,0.1565,0.2677,0.12788,0.03813,3.22223,2.39455,1.52383,0.000665598,0.000665598,0.000665598
2,218.992,3.01576,3.18707,1.42677,0.40825,0.29436,0.25771,0.09674,2.62516,2.22467,1.2577,0.00131908,0.00131908,0.00131908
3,324.254,2.85813,3.0584,1.34784,0.48251,0.3144,0.29826,0.09785,2.7348,2.11541,1.24962,0.00195935,0.00195935,0.00195935
4,428.244,2.68982,2.99646,1.24668,0.30849,0.37066,0.18617,0.06088,2.65914,inf,1.19537,0.0019406,0.0019406,0.0019406
5,529.374,2.6779,2.85773,1.27102,0.37786,0.33355,0.22004,0.07747,2.52522,4.02205,1.16402,0.0019208,0.0019208,0.0019208
6,630.292,2.64151,2.76805,1.24575,0.44114,0.31458,0.25885,0.10016,2.39835,3.67827,1.13876,0.001901,0.001901,0.001901
7,733.876,2.6644,2.66718,1.23459,0.57538,0.31018,0.33863,0.09971,2.60166,2.08592,1.16785,0.0018812,0.0018812,0.0018812
8,834.475,2.6054,2.76043,1.22104,0.27489,0.34345,0.22171,0.08279,2.54883,3.87718,1.1877,0.0018614,0.0018614,0.0018614
9,935.911,2.52533,2.66218,1.18742,0.49969,0.37562,0.37046,0.15258,2.25672,1.93011,1.10778,0.0018416,0.0018416,0.0018416
10,1040.86,2.50399,2.65719,1.20686,0.44,0.35687,0.34449,0.14634,2.177,2.09029,1.07757,0.0018218,0.0018218,0.0018218
11,1142.24,2.43312,2.53259,1.15025,0.33263,0.40743,0.24936,0.10009,2.42336,7.28215,1.14257,0.001802,0.001802,0.001802
12,1242.97,2.45241,2.46977,1.16374,0.28718,0.35135,0.21959,0.0921,2.31181,3.89335,1.10784,0.0017822,0.0017822,0.0017822
13,1343.69,2.40173,2.51949,1.16189,0.55037,0.39924,0.39909,0.14536,2.23859,1.80306,1.07368,0.0017624,0.0017624,0.0017624
14,1444.54,2.40414,2.41754,1.15757,0.50557,0.37415,0.33999,0.13812,2.2323,1.91523,1.09175,0.0017426,0.0017426,0.0017426
15,1545.1,2.38961,2.35628,1.13081,0.55832,0.43151,0.44652,0.16844,2.27566,1.7345,1.09125,0.0017228,0.0017228,0.0017228
16,1649.23,2.41678,2.3502,1.16425,0.4328,0.38886,0.27861,0.09863,2.40843,2.45461,1.1152,0.001703,0.001703,0.001703
17,1750.13,2.34983,2.40084,1.13674,0.34187,0.37745,0.21075,0.09182,2.17316,13.337,1.0732,0.0016832,0.0016832,0.0016832
18,1851.09,2.348,2.22203,1.11178,0.61504,0.46994,0.49168,0.21536,2.11632,1.66087,1.05874,0.0016634,0.0016634,0.0016634
19,1954.73,2.39771,2.3335,1.12064,0.4788,0.37599,0.3047,0.11372,2.37982,1.9823,1.11246,0.0016436,0.0016436,0.0016436
20,2055.93,2.3613,2.22967,1.13251,0.64299,0.46387,0.4996,0.20409,2.18019,1.76127,1.06255,0.0016238,0.0016238,0.0016238
21,117.424,2.5098,2.84621,1.15684,0.65262,0.26439,0.36988,0.16182,nan,nan,nan,0.001604,0.001604,0.001604
22,220.539,2.37141,2.28845,1.12302,0.66288,0.41646,0.47515,0.19311,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,321.164,2.36246,2.25154,1.13004,0.55272,0.41037,0.42154,0.1517,2.27582,1.96602,1.08385,0.0015644,0.0015644,0.0015644
24,421.988,2.32848,2.27051,1.08921,0.67913,0.45063,0.50551,0.2154,2.08984,1.72788,1.03734,0.0015446,0.0015446,0.0015446
25,532.567,2.34208,2.28096,1.12173,0.46742,0.42581,0.3612,0.1585,2.12487,2.18945,1.06375,0.0015248,0.0015248,0.0015248
26,633.275,2.29959,2.1925,1.10601,0.62193,0.47243,0.49731,0.21376,2.04774,1.59094,1.02301,0.001505,0.001505,0.001505
27,734.239,2.31642,2.11425,1.10768,0.70318,0.45211,0.51464,0.21789,2.06046,1.76268,1.0309,0.0014852,0.0014852,0.0014852
