epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.009,3.38789,8.42145,1.7957,0.00667,0.02464,0.00356,0.00117,4.35308,5.632,1.82149,0.000665598,0.000665598,0.000665598
2,218.211,3.64794,4.6022,1.67553,0.03328,0.123,0.03537,0.01014,3.54549,5.94212,1.52803,0.00131908,0.00131908,0.00131908
3,294.196,3.12632,3.86782,1.44854,0.03602,0.13311,0.02103,0.00813,3.00365,inf,1.33706,0.00195935,0.00195935,0.00195935
4,366.68,2.86732,3.65638,1.3089,0.10941,0.37194,0.13948,0.04898,2.7231,3.34979,1.2263,0.0019406,0.0019406,0.0019406
5,439.923,2.83392,3.42659,1.30432,0.43327,0.22136,0.23423,0.0851,2.56897,2.33852,1.17023,0.0019208,0.0019208,0.0019208
6,511.234,2.75184,3.24594,1.26125,0.11721,0.43317,0.20493,0.07898,2.46661,2.55097,1.14451,0.001901,0.001901,0.001901
7,583.588,2.72909,3.15562,1.24069,0.10796,0.39897,0.12077,0.04286,2.53984,2.64888,1.15072,0.0018812,0.0018812,0.0018812
8,655.29,2.67615,3.10763,1.21919,0.41963,0.23773,0.22643,0.08837,2.4132,2.22185,1.12901,0.0018614,0.0018614,0.0018614
9,726.459,2.62701,3.07929,1.19176,0.4106,0.26936,0.25484,0.0951,2.52905,2.12064,1.15437,0.0018416,0.0018416,0.0018416
10,797.582,2.63944,3.05909,1.22142,0.41834,0.24269,0.24262,0.08855,2.54709,2.17614,1.15966,0.0018218,0.0018218,0.0018218
11,868.103,2.55378,2.91828,1.16542,0.46673,0.34106,0.31617,0.11974,2.3957,2.00903,1.1186,0.001802,0.001802,0.001802
12,940.866,2.57259,2.83942,1.18156,0.4675,0.33719,0.32188,0.11995,2.36445,2.02046,1.10566,0.0017822,0.0017822,0.0017822
