epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.279,3.67088,8.57861,1.90352,0.0008,0.00294,0.0004,8e-05,4.3949,6.44064,1.8329,0.000665598,0.000665598,0.000665598
2,217.638,4.01702,4.97036,1.77312,0.0294,0.10866,0.02142,0.00696,3.6386,3.85175,1.59587,0.00131908,0.00131908,0.00131908
3,293.053,3.1651,3.92677,1.41971,0.08194,0.30281,0.08652,0.03059,2.85205,2.82383,1.3091,0.00195935,0.00195935,0.00195935
4,368.694,2.8156,3.6694,1.26593,0.10413,0.38481,0.10139,0.03732,2.6485,inf,1.19461,0.0019406,0.0019406,0.0019406
5,445.708,2.77894,3.42485,1.28189,0.12701,0.46939,0.1883,0.07155,2.4462,3.92966,1.13631,0.0019208,0.0019208,0.0019208
6,520.439,2.70452,3.23504,1.23141,0.13577,0.48134,0.17312,0.06724,2.40369,5.81439,1.12632,0.001901,0.001901,0.001901
7,596.893,2.66562,3.02144,1.21583,0.13349,0.492,0.18482,0.06348,2.46645,24.0757,1.12545,0.0018812,0.0018812,0.0018812
8,674.046,2.6208,2.96913,1.19424,0.32659,0.30392,0.19888,0.07796,2.41111,6.24052,1.13417,0.0018614,0.0018614,0.0018614
9,751.114,2.55693,2.94035,1.17167,0.2884,0.29086,0.17178,0.06545,2.51561,6.0427,1.15233,0.0018416,0.0018416,0.0018416
10,828.653,2.58071,2.93531,1.19709,0.40697,0.33234,0.25244,0.0979,2.39635,3.01281,1.12599,0.0018218,0.0018218,0.0018218
11,906.468,2.51549,2.79296,1.14936,0.53036,0.3679,0.35289,0.14264,2.25763,2.09154,1.08671,0.001802,0.001802,0.001802
12,983.306,2.5112,2.71928,1.15847,0.31781,0.37158,0.20353,0.07918,2.32384,7.99705,1.09807,0.0017822,0.0017822,0.0017822
13,1061.8,2.4534,2.71774,1.15529,0.43505,0.36643,0.27196,0.10258,2.30172,5.90744,1.08651,0.0017624,0.0017624,0.0017624
14,1141.12,2.45803,2.60568,1.15613,0.45546,0.34657,0.28487,0.11726,2.24701,2.82493,1.09143,0.0017426,0.0017426,0.0017426
15,1218.13,2.48346,2.62104,1.13963,0.47135,0.35426,0.30309,0.12503,2.22824,3.50374,1.07686,0.0017228,0.0017228,0.0017228
16,1294.43,2.43313,2.57742,1.15324,0.39808,0.37617,0.26198,0.10509,2.21575,3.99664,1.07257,0.001703,0.001703,0.001703
17,1370.61,2.4205,2.57696,1.13972,0.50316,0.36905,0.31817,0.12916,2.21249,3.74804,1.06611,0.0016832,0.0016832,0.0016832
18,1447.06,2.42701,2.47425,1.12043,0.46941,0.39364,0.32165,0.12026,2.2397,6.78592,1.06234,0.0016634,0.0016634,0.0016634
19,1523.74,2.43529,2.50286,1.11149,0.28776,0.41546,0.18861,0.07473,2.26638,11.7301,1.08251,0.0016436,0.0016436,0.0016436
20,1599.33,2.38912,2.41323,1.1239,0.59156,0.40136,0.41571,0.16601,2.13734,2.77039,1.04918,0.0016238,0.0016238,0.0016238
21,1677.4,2.37088,2.46362,1.12492,0.32661,0.40283,0.21912,0.0927,2.1886,7.65419,1.05604,0.001604,0.001604,0.001604
