epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.425,3.51492,7.44648,1.80577,0.02592,0.09579,0.02369,0.00832,4.03272,4.17046,1.66703,0.000665598,0.000665598,0.000665598
2,141.856,3.28034,4.01928,1.49734,0.09832,0.34675,0.11954,0.04142,2.82071,3.19192,1.29558,0.00131908,0.00131908,0.00131908
3,201.106,2.93555,3.64808,1.35058,0.11652,0.33039,0.10313,0.03393,2.87199,3.57848,1.28286,0.00195935,0.00195935,0.00195935
4,260.539,2.75891,3.58156,1.24883,0.37945,0.33076,0.24727,0.07962,2.63326,2.95385,1.18829,0.0019406,0.0019406,0.0019406
5,319.689,2.7357,3.31279,1.26754,0.53553,0.26054,0.30257,0.11205,2.41399,2.24563,1.13403,0.0019208,0.0019208,0.0019208
6,379.185,2.66418,3.17031,1.2311,0.57998,0.3098,0.34288,0.12541,2.43783,2.22841,1.13656,0.001901,0.001901,0.001901
7,436.902,2.64573,3.03224,1.21806,0.50464,0.28149,0.31073,0.11369,2.39703,2.17256,1.12986,0.0018812,0.0018812,0.0018812
8,494.882,2.62211,3.0392,1.20417,0.47324,0.27174,0.27402,0.09456,2.58331,2.51787,1.18008,0.0018614,0.0018614,0.0018614
9,552.313,2.54449,3.11078,1.17381,0.36781,0.29362,0.2517,0.09468,2.48183,2.2972,1.14899,0.0018416,0.0018416,0.0018416
10,610.337,2.55956,2.99365,1.19794,0.38633,0.26255,0.2463,0.09641,2.42295,2.40937,1.12776,0.0018218,0.0018218,0.0018218
11,669.65,2.49073,2.87224,1.1517,0.61022,0.34436,0.4001,0.16158,2.24002,1.92669,1.09306,0.001802,0.001802,0.001802
12,728.132,2.48773,2.74912,1.15877,0.4768,0.38849,0.3696,0.14349,2.34532,2.27811,1.10506,0.0017822,0.0017822,0.0017822
13,787.347,2.43948,2.75612,1.15432,0.58944,0.32377,0.36252,0.14066,2.27369,2.11954,1.07992,0.0017624,0.0017624,0.0017624
14,845.51,2.4683,2.66989,1.15982,0.37104,0.32157,0.27301,0.10151,2.39592,2.8306,1.11805,0.0017426,0.0017426,0.0017426
15,903.958,2.49161,2.59427,1.14194,0.55541,0.38169,0.40003,0.15406,2.29416,1.87065,1.08874,0.0017228,0.0017228,0.0017228
16,962.03,2.45761,2.5898,1.16029,0.45577,0.34436,0.32436,0.10896,2.47984,2.30193,1.142,0.001703,0.001703,0.001703
17,1020.63,2.42428,2.61229,1.14345,0.35168,0.32175,0.28898,0.11787,2.3021,2.75316,1.09188,0.0016832,0.0016832,0.0016832
18,1079.39,2.42959,2.4669,1.1233,0.57778,0.41331,0.42915,0.16362,2.285,1.71863,1.08041,0.0016634,0.0016634,0.0016634
19,1138,2.43698,2.50855,1.11691,0.51339,0.41278,0.39186,0.1477,2.37463,1.97672,1.10757,0.0016436,0.0016436,0.0016436
20,1198.06,2.39872,2.47188,1.12985,0.71262,0.32096,0.45088,0.18513,2.18292,2.21257,1.05566,0.0016238,0.0016238,0.0016238
21,1255.9,2.36812,2.4263,1.12629,0.55747,0.41828,0.42306,0.17164,2.19495,2.25663,1.06163,0.001604,0.001604,0.001604
22,1314.18,2.35399,2.49333,1.10727,0.63097,0.41147,0.45437,0.1871,2.16631,1.79132,1.06159,0.0015842,0.0015842,0.0015842
23,1372.15,2.38747,2.41868,1.10425,0.48714,0.39051,0.35353,0.14099,2.29106,1.7928,1.08838,0.0015644,0.0015644,0.0015644
24,1429.86,2.42188,2.3639,1.13395,0.48014,0.38941,0.35342,0.12724,2.38131,2.12026,1.1227,0.0015446,0.0015446,0.0015446
25,1488.03,2.33944,2.37855,1.10652,0.65694,0.39805,0.45137,0.18383,2.20208,1.76172,1.06575,0.0015248,0.0015248,0.0015248
26,1545.44,2.36065,2.40453,1.10541,0.6044,0.4328,0.45223,0.1999,2.09257,1.7173,1.03775,0.001505,0.001505,0.001505
27,1603.42,2.36309,2.35898,1.11588,0.62515,0.46269,0.48885,0.21158,2.09239,1.68434,1.03024,0.0014852,0.0014852,0.0014852
28,1661.55,2.32602,2.32634,1.1026,0.53075,0.39676,0.33256,0.142,2.15832,2.11074,1.06159,0.0014654,0.0014654,0.0014654
29,1720.01,2.33231,2.36333,1.09316,0.51289,0.37783,0.36621,0.14695,2.27875,1.99307,1.08419,0.0014456,0.0014456,0.0014456
30,1779.07,2.35675,2.21949,1.09979,0.56153,0.44824,0.45344,0.19039,2.16521,1.94466,1.05639,0.0014258,0.0014258,0.0014258
31,1836.97,2.37938,2.26389,1.12009,0.60184,0.44993,0.45097,0.19003,2.16253,1.75759,1.05235,0.001406,0.001406,0.001406
32,1896.01,2.32874,2.32423,1.08834,0.5773,0.4396,0.45108,0.19002,2.13052,1.74106,1.04213,0.0013862,0.0013862,0.0013862
33,1954.45,2.29583,2.34137,1.08962,0.66781,0.42618,0.47437,0.20599,2.08437,1.72233,1.0309,0.0013664,0.0013664,0.0013664
34,2012.49,2.33743,2.30625,1.09279,0.63486,0.48525,0.50944,0.22009,2.0826,1.52934,1.03365,0.0013466,0.0013466,0.0013466
35,2070.83,2.30298,2.2494,1.07159,0.63856,0.46626,0.50392,0.21105,2.09669,1.64026,1.026,0.0013268,0.0013268,0.0013268
36,2129.07,2.30408,2.30101,1.09896,0.60857,0.43593,0.45921,0.19343,2.15237,1.90173,1.05742,0.001307,0.001307,0.001307
37,2187.73,2.31993,2.23693,1.10463,0.30252,0.36874,0.18615,0.08031,2.2317,10.0374,1.07312,0.0012872,0.0012872,0.0012872
38,2246.1,2.30869,2.17051,1.11056,0.6214,0.47123,0.45689,0.18875,2.08597,2.86095,1.03409,0.0012674,0.0012674,0.0012674
39,2304.53,2.30576,2.12092,1.08249,0.61183,0.47012,0.48289,0.2222,2.02761,1.74545,1.01944,0.0012476,0.0012476,0.0012476
40,2362.48,2.30004,2.19509,1.08915,0.63614,0.4567,0.48647,0.19769,2.07676,1.68912,1.02803,0.0012278,0.0012278,0.0012278
41,2420.32,2.26407,2.14734,1.07842,0.64434,0.47865,0.51015,0.22798,2.05277,1.67128,1.02496,0.001208,0.001208,0.001208
42,2478.98,2.26285,2.15826,1.08643,0.65447,0.4681,0.49629,0.21733,2.03715,1.66371,1.02179,0.0011882,0.0011882,0.0011882
43,2536.86,2.28271,2.12868,1.09561,0.59242,0.4545,0.44489,0.1864,2.12523,2.29761,1.03606,0.0011684,0.0011684,0.0011684
44,2595.66,2.27653,2.0825,1.0909,0.63082,0.46369,0.49319,0.20777,2.11549,2.03031,1.04157,0.0011486,0.0011486,0.0011486
45,2653.47,2.25897,2.27265,1.07127,0.49272,0.43662,0.33015,0.13877,2.15635,3.58277,1.05204,0.0011288,0.0011288,0.0011288
46,2712.15,2.28768,2.27829,1.09045,0.37883,0.37378,0.27878,0.11276,2.2554,4.61917,1.07959,0.001109,0.001109,0.001109
47,2770.72,2.29382,2.15459,1.08291,0.65622,0.46534,0.49168,0.20379,2.11134,2.4415,1.03295,0.0010892,0.0010892,0.0010892
48,2828.95,2.22825,2.06854,1.08542,0.68836,0.44972,0.4872,0.20452,2.0823,3.26769,1.03157,0.0010694,0.0010694,0.0010694
49,2888.1,2.28215,2.15345,1.0837,0.40046,0.47546,0.2977,0.13548,2.04452,7.41235,1.0228,0.0010496,0.0010496,0.0010496
50,2946.45,2.24064,2.04283,1.07265,0.70199,0.47987,0.54764,0.24452,2.03178,1.85785,1.01632,0.0010298,0.0010298,0.0010298
51,3008.06,2.24511,2.13679,1.07824,0.67332,0.49568,0.54399,0.22752,2.08683,1.63456,1.02929,0.00101,0.00101,0.00101
52,3066.72,2.22692,2.09702,1.05979,0.40303,0.47711,0.2872,0.12915,2.0754,8.77499,1.03045,0.0009902,0.0009902,0.0009902
53,3125.84,2.27877,2.05902,1.09499,0.58561,0.4795,0.48443,0.21016,2.07023,2.64942,1.03173,0.0009704,0.0009704,0.0009704
54,3184.03,2.24868,2.1279,1.06952,0.68846,0.50984,0.54854,0.24155,2.00602,1.77657,1.00572,0.0009506,0.0009506,0.0009506
55,3242.96,2.24135,2.03254,1.09121,0.68792,0.52252,0.56897,0.25957,1.97407,1.42006,1.00302,0.0009308,0.0009308,0.0009308
56,3301.32,2.20745,2.15389,1.04817,0.54185,0.39787,0.39519,0.15874,2.18981,2.6501,1.06174,0.000911,0.000911,0.000911
57,3359.95,2.26028,2.08316,1.07431,0.68347,0.48226,0.52523,0.21703,2.10673,2.05265,1.02936,0.0008912,0.0008912,0.0008912
58,3418.26,2.27179,2.0226,1.07905,0.67327,0.49844,0.53841,0.22744,2.08337,1.59021,1.02452,0.0008714,0.0008714,0.0008714
59,3476.21,2.24616,2.01165,1.08586,0.67597,0.48788,0.5225,0.22231,2.06091,1.88088,1.02179,0.0008516,0.0008516,0.0008516
60,3535.49,2.25955,2.03753,1.07735,0.67145,0.48471,0.52294,0.20833,2.0889,1.59576,1.02691,0.0008318,0.0008318,0.0008318
61,3593.49,2.22701,1.99894,1.05728,0.64196,0.48833,0.51351,0.21321,2.08669,1.56702,1.02779,0.000812,0.000812,0.000812
62,3652.4,2.21604,2.05761,1.05399,0.63383,0.51057,0.53188,0.2188,2.09263,1.52961,1.02702,0.0007922,0.0007922,0.0007922
63,3710.48,2.21548,1.98025,1.09516,0.64649,0.50745,0.53037,0.23538,2.00672,2.32657,1.01005,0.0007724,0.0007724,0.0007724
64,3769.33,2.19384,1.89708,1.04924,0.59324,0.45854,0.47122,0.19445,2.06712,1.94236,1.02378,0.0007526,0.0007526,0.0007526
65,3828.66,2.23335,1.91039,1.07104,0.67275,0.52105,0.54856,0.23962,2.00583,1.78471,1.00881,0.0007328,0.0007328,0.0007328
66,3886.57,2.17419,1.95776,1.05002,0.64645,0.44107,0.48384,0.21137,2.01067,1.79936,1.01087,0.000713,0.000713,0.000713
67,3945.39,2.22386,1.93602,1.05321,0.69679,0.46857,0.52945,0.22842,2.06157,1.7685,1.01933,0.0006932,0.0006932,0.0006932
68,4003.27,2.22135,1.93909,1.08951,0.61162,0.50211,0.52017,0.23775,1.97382,1.9196,1.00786,0.0006734,0.0006734,0.0006734
69,4061.66,2.18446,2.03036,1.06324,0.66013,0.51424,0.55029,0.24366,2.01043,1.58308,1.0091,0.0006536,0.0006536,0.0006536
70,4120.53,2.21899,1.9515,1.04833,0.68978,0.51646,0.56323,0.23575,2.05164,1.53615,1.01438,0.0006338,0.0006338,0.0006338
71,4178.86,2.1758,1.92545,1.05841,0.70028,0.44848,0.50729,0.22678,2.00858,3.32234,1.00549,0.000614,0.000614,0.000614
72,4237.93,2.19718,1.94134,1.06424,0.65342,0.50671,0.55117,0.23751,2.03731,1.57694,1.01617,0.0005942,0.0005942,0.0005942
73,4295.84,2.17803,1.9434,1.049,0.68637,0.52146,0.55972,0.24701,2.00932,1.47559,1.00741,0.0005744,0.0005744,0.0005744
74,4355.55,2.17621,1.84496,1.05709,0.72114,0.52675,0.58634,0.25777,1.99266,1.47449,1.00357,0.0005546,0.0005546,0.0005546
75,4414.7,2.20877,1.91276,1.06371,0.6042,0.48943,0.49879,0.2119,2.06508,1.71332,1.01717,0.0005348,0.0005348,0.0005348
76,4474.73,2.23632,1.87416,1.07294,0.63905,0.533,0.55448,0.25505,1.97093,1.80019,1.00465,0.000515,0.000515,0.000515
77,4533.4,2.17475,1.85281,1.04503,0.60398,0.48426,0.48441,0.20967,2.05706,1.66273,1.01773,0.0004952,0.0004952,0.0004952
78,4592.48,2.1922,1.83739,1.05918,0.63655,0.52068,0.53557,0.23604,2.00971,1.56079,1.01251,0.0004754,0.0004754,0.0004754
79,4650.82,2.20759,1.93147,1.05984,0.67385,0.52988,0.56912,0.2514,2.03544,1.47644,1.01388,0.0004556,0.0004556,0.0004556
80,4709.61,2.20975,1.85319,1.05988,0.6908,0.52602,0.56117,0.24465,2.02216,1.52638,1.01098,0.0004358,0.0004358,0.0004358
