epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.757,3.26967,3.76263,1.653,0.34416,0.18959,0.15425,0.0503,3.14615,7.3799,1.46947,0.000665598,0.000665598,0.000665598
2,409.728,2.97342,2.85715,1.41764,0.43115,0.27009,0.25105,0.09113,2.684,2.35918,1.27414,0.00131908,0.00131908,0.00131908
3,616.331,2.79166,2.85419,1.33046,0.48467,0.32947,0.31323,0.11195,2.61021,2.42961,1.20758,0.00195935,0.00195935,0.00195935
4,825.053,2.65609,2.88788,1.23951,0.40818,0.33249,0.30187,0.11574,2.5054,2.21866,1.16553,0.0019406,0.0019406,0.0019406
5,1031.64,2.62234,2.71596,1.24698,0.3628,0.34014,0.28779,0.10684,2.47984,2.7204,1.17196,0.0019208,0.0019208,0.0019208
6,1235.94,2.60034,2.66819,1.23067,0.5155,0.37194,0.37442,0.1495,2.31569,1.98508,1.10918,0.001901,0.001901,0.001901
7,1442.31,2.59204,2.81023,1.21499,0.59336,0.38297,0.40935,0.15024,2.2914,2.05325,1.09113,0.0018812,0.0018812,0.0018812
8,1649.69,2.56833,2.56135,1.20136,0.29974,0.37452,0.23593,0.09744,2.38475,8.11533,1.13255,0.0018614,0.0018614,0.0018614
9,1855.16,2.51966,2.51898,1.17684,0.53249,0.3872,0.38143,0.14222,2.41865,1.99397,1.13795,0.0018416,0.0018416,0.0018416
10,2059.86,2.53088,2.60012,1.20291,0.5284,0.40338,0.39598,0.15917,2.23748,1.92699,1.08611,0.0018218,0.0018218,0.0018218
11,2267.51,2.4477,2.5601,1.15286,0.44469,0.38427,0.35996,0.15959,2.13975,8.77027,1.06168,0.001802,0.001802,0.001802
12,2473.4,2.47504,2.50812,1.16367,0.50465,0.40798,0.39199,0.16545,2.16876,2.29,1.06209,0.0017822,0.0017822,0.0017822
13,2681.64,2.39254,2.54245,1.15499,0.63259,0.38003,0.43865,0.18587,2.17701,2.05254,1.06506,0.0017624,0.0017624,0.0017624
14,2891.83,2.39209,2.44075,1.14912,0.44185,0.36073,0.32949,0.12815,2.23887,3.89398,1.07925,0.0017426,0.0017426,0.0017426
15,3096.61,2.41597,2.32114,1.13343,0.50423,0.38702,0.38822,0.13727,2.44964,2.31697,1.13563,0.0017228,0.0017228,0.0017228
16,3302.61,2.42077,2.43855,1.16565,0.52675,0.4111,0.38745,0.13676,2.40695,1.97968,1.1165,0.001703,0.001703,0.001703
17,3507.24,2.42278,2.77733,1.15848,0.60896,0.36312,0.39237,0.1627,2.21926,2.00947,1.08456,0.0016832,0.0016832,0.0016832
18,3712.45,2.38134,2.30985,1.12207,0.6514,0.46681,0.49925,0.2171,2.15299,1.73572,1.0588,0.0016634,0.0016634,0.0016634
19,3919.32,2.36378,2.34532,1.10895,0.54805,0.46038,0.4344,0.1859,2.17496,2.4162,1.06459,0.0016436,0.0016436,0.0016436
20,4124.16,2.325,2.34367,1.12586,0.67614,0.42232,0.49189,0.22133,2.05207,2.02496,1.04541,0.0016238,0.0016238,0.0016238
21,4332.07,2.30239,2.27337,1.12417,0.61868,0.47932,0.50308,0.20495,2.10509,1.698,1.0389,0.001604,0.001604,0.001604
22,4537.04,2.29926,2.34856,1.10859,0.62552,0.46773,0.49052,0.20831,2.10487,1.74016,1.0522,0.0015842,0.0015842,0.0015842
23,4742.38,2.31551,2.24606,1.09358,0.57642,0.44861,0.4311,0.18432,2.15546,1.81575,1.06714,0.0015644,0.0015644,0.0015644
24,4948.15,2.34111,2.22685,1.12524,0.5772,0.45482,0.44697,0.17934,2.21526,1.88565,1.06983,0.0015446,0.0015446,0.0015446
25,5153.29,2.28205,2.29618,1.10431,0.60974,0.46828,0.48392,0.20353,2.1849,1.67895,1.07364,0.0015248,0.0015248,0.0015248
26,5360.03,2.30653,2.20354,1.10496,0.62647,0.48428,0.50361,0.21068,2.11607,1.88356,1.04212,0.001505,0.001505,0.001505
27,5567.24,2.29473,2.21645,1.10984,0.67731,0.45762,0.51863,0.22417,2.09467,1.80116,1.0387,0.0014852,0.0014852,0.0014852
28,5779.8,2.26647,2.13759,1.09835,0.65477,0.49623,0.52684,0.22841,2.07441,1.70777,1.03686,0.0014654,0.0014654,0.0014654
29,5995.97,2.24113,2.15416,1.08225,0.62854,0.43225,0.46363,0.20172,2.13663,1.81714,1.05792,0.0014456,0.0014456,0.0014456
30,6204.25,2.25224,2.09514,1.08636,0.64659,0.51076,0.53595,0.24079,2.00566,1.71074,1.01465,0.0014258,0.0014258,0.0014258
31,6414.24,2.27866,2.04854,1.1018,0.69515,0.51652,0.55274,0.24975,2.03353,1.58091,1.03141,0.001406,0.001406,0.001406
32,6623.6,2.22762,2.06812,1.07198,0.6773,0.48961,0.52049,0.19633,2.09156,1.69602,1.03255,0.0013862,0.0013862,0.0013862
33,6830.24,2.2254,2.16091,1.08101,0.68509,0.5194,0.56305,0.23177,2.09118,1.56594,1.03166,0.0013664,0.0013664,0.0013664
34,244.902,2.4829,2.68607,1.15611,0.3147,0.42655,0.2078,0.09772,2.14894,8531.33,1.0564,0.0013466,0.0013466,0.0013466
35,456.026,2.32741,2.21932,1.11442,0.38878,0.49568,0.27056,0.11467,2.12843,467.656,1.04364,0.0013268,0.0013268,0.0013268
36,662.385,2.29601,2.11727,1.11124,0.62318,0.4453,0.48604,0.20139,2.11099,1.74285,1.04574,0.001307,0.001307,0.001307
37,869.566,2.25683,2.18414,1.073,0.72534,0.42922,0.51624,0.2171,2.12589,2.05847,1.04925,0.0012872,0.0012872,0.0012872
38,1074.15,2.27023,2.22108,1.10398,0.57927,0.46019,0.46533,0.19993,2.05969,2.26702,1.02306,0.0012674,0.0012674,0.0012674
39,1279.37,2.20598,2.17708,1.07966,0.6385,0.46332,0.50395,0.22845,2.00608,1.77398,1.02156,0.0012476,0.0012476,0.0012476
40,1484.86,2.23995,2.05619,1.09006,0.70952,0.5023,0.56484,0.25418,1.98004,1.67052,1.01571,0.0012278,0.0012278,0.0012278
41,1704.36,2.21188,2.01737,1.07494,0.66227,0.51268,0.54247,0.25691,1.93705,1.81594,1.00736,0.001208,0.001208,0.001208
42,234.224,3.08664,2.51708,3.15398,0.57165,0.492,0.4815,0.21415,2.11473,1.69806,1.08411,0.0011882,0.0011882,0.0011882
43,440.57,2.32938,2.0565,1.14366,0.66172,0.5034,0.54477,0.25308,2.01004,1.57742,1.02511,0.0011684,0.0011684,0.0011684
44,644.699,2.26427,1.95847,1.12105,0.67645,0.48152,0.53308,0.23164,2.03375,1.63598,1.02999,0.0011486,0.0011486,0.0011486
45,848.169,2.2088,2.00473,1.06791,0.74197,0.4738,0.56221,0.25053,2.0319,1.98921,1.03098,0.0011288,0.0011288,0.0011288
46,1051.68,2.25174,2.0618,1.11046,0.65915,0.51315,0.53837,0.24322,1.99302,1.79448,1.00912,0.001109,0.001109,0.001109
47,1256,2.17944,1.96203,1.0787,0.70889,0.53153,0.57809,0.26558,1.95402,1.58391,1.00468,0.0010892,0.0010892,0.0010892
48,1466.92,2.19214,1.89326,1.08058,0.71354,0.51829,0.57636,0.25955,1.97004,1.58643,1.00713,0.0010694,0.0010694,0.0010694
49,1671.75,2.18707,1.91171,1.07303,0.53543,0.49513,0.46586,0.21878,1.92707,2.37178,1.00123,0.0010496,0.0010496,0.0010496
50,1875.8,2.18309,1.96225,1.06773,0.57407,0.47876,0.46691,0.19932,2.06136,2.55101,1.02712,0.0010298,0.0010298,0.0010298
51,2079.84,2.21243,1.99821,1.09338,0.70155,0.492,0.54398,0.24528,2.01457,1.50824,1.02006,0.00101,0.00101,0.00101
52,2283.62,2.17022,1.9308,1.05671,0.7248,0.54569,0.5942,0.27983,1.92492,1.40119,1.00145,0.0009902,0.0009902,0.0009902
53,2490.74,2.17681,1.88742,1.06714,0.56744,0.44824,0.40307,0.16946,2.06245,2.16204,1.02456,0.0009704,0.0009704,0.0009704
54,2695.9,2.16464,2.02212,1.07152,0.74892,0.51825,0.59343,0.28269,1.94539,1.7534,1.00236,0.0009506,0.0009506,0.0009506
55,2903.04,2.1611,1.88948,1.06691,0.7104,0.52136,0.57502,0.25739,1.95348,1.67724,1.00714,0.0009308,0.0009308,0.0009308
56,3108.1,2.17652,1.8502,1.06176,0.73056,0.54367,0.59582,0.26726,1.95104,1.43638,0.99811,0.000911,0.000911,0.000911
57,3312.42,2.16262,1.86147,1.07864,0.68298,0.52988,0.56427,0.26011,1.93722,1.8339,0.99785,0.0008912,0.0008912,0.0008912
58,3517.25,2.15075,1.80668,1.07014,0.69462,0.52436,0.55607,0.25837,1.9249,1.46697,0.99485,0.0008714,0.0008714,0.0008714
59,3722.38,2.16317,1.75832,1.05025,0.72755,0.53515,0.58075,0.26743,1.93369,1.46094,0.99288,0.0008516,0.0008516,0.0008516
60,3929.03,2.1712,1.84362,1.04466,0.70661,0.55042,0.58121,0.26544,1.951,1.68897,1.00245,0.0008318,0.0008318,0.0008318
61,4135.7,2.14832,1.7979,1.06175,0.73488,0.5512,0.60092,0.27341,1.94636,1.48338,0.99852,0.000812,0.000812,0.000812
62,4340.51,2.12169,1.7247,1.06276,0.68165,0.53066,0.55765,0.24627,1.95405,1.58564,0.99984,0.0007922,0.0007922,0.0007922
63,4545.73,2.11692,1.76816,1.04467,0.64445,0.51995,0.54416,0.2446,1.96224,1.95088,1.00842,0.0007724,0.0007724,0.0007724
64,4750.75,2.12736,1.75742,1.03684,0.72693,0.53043,0.58548,0.269,1.92975,1.51221,0.997,0.0007526,0.0007526,0.0007526
65,5301.22,2.1842,1.84189,1.0661,0.74897,0.54141,0.60081,0.28661,1.9069,1.42606,0.99207,0.0007328,0.0007328,0.0007328
66,5115.94,2.1651,1.73125,1.06533,0.71769,0.53594,0.56846,0.25022,1.9732,1.52667,1.00362,0.000713,0.000713,0.000713
67,10176.4,2.13965,1.74637,1.06743,0.72332,0.54746,0.59044,0.2624,1.94327,1.52749,0.99293,0.0006932,0.0006932,0.0006932
68,15323.4,2.1244,1.68576,1.04929,0.74907,0.54863,0.60715,0.268,1.9556,1.47343,0.99517,0.0006734,0.0006734,0.0006734
68,3198.82,2.15941,1.71265,1.05766,0.71699,0.54826,0.59273,0.28392,1.89453,1.60491,0.98932,0.0006734,0.0006734,0.0006734
69,447.452,2.11101,1.65376,1.04723,0.67207,0.54771,0.55987,0.25103,1.9481,1.55644,1.00046,0.0006536,0.0006536,0.0006536
70,893.044,2.10558,1.64456,1.04861,0.71657,0.54091,0.58138,0.25503,1.94178,1.65764,0.99541,0.0006338,0.0006338,0.0006338
71,1339.35,2.11281,1.6136,1.04628,0.75502,0.55764,0.61555,0.27319,1.93911,1.43435,0.98998,0.000614,0.000614,0.000614
72,288.965,2.09632,1.65022,1.04427,0.73014,0.5558,0.60297,0.2896,1.8901,1.40762,0.98906,0.0005942,0.0005942,0.0005942
73,514.656,2.07105,1.57433,1.03988,0.73853,0.54385,0.5951,0.26871,1.93775,1.47898,0.9949,0.0005744,0.0005744,0.0005744
74,729.639,2.0784,1.52699,1.03789,0.74451,0.56096,0.6101,0.27201,1.95805,1.58863,0.99595,0.0005546,0.0005546,0.0005546
75,944.438,2.06729,1.62962,1.03737,0.75393,0.56352,0.6186,0.28774,1.9266,1.50264,0.99213,0.0005348,0.0005348,0.0005348
76,1159.12,2.11355,1.69068,1.03113,0.76159,0.5604,0.62837,0.29851,1.90582,1.43472,0.9884,0.000515,0.000515,0.000515
77,1377.11,2.10074,1.7281,1.0342,0.75757,0.55635,0.62164,0.29387,1.89921,1.46084,0.99197,0.0004952,0.0004952,0.0004952
78,1592.62,2.11137,1.63431,1.04712,0.75798,0.56849,0.62446,0.28869,1.88673,1.49134,0.98707,0.0004754,0.0004754,0.0004754
79,1808.43,2.1029,1.67202,1.05619,0.7348,0.57547,0.6226,0.29335,1.86292,1.59566,0.98018,0.0004556,0.0004556,0.0004556
80,2023.26,2.10802,1.63019,1.02415,0.76488,0.57124,0.62675,0.28062,1.92954,1.4028,0.99312,0.0004358,0.0004358,0.0004358
81,2238.37,2.08994,1.62751,1.03148,0.7297,0.56205,0.59988,0.27073,1.94306,1.61294,0.99867,0.000416,0.000416,0.000416
